Year,Tipus Habitatge,Units,Value
2015,,Nombre Total,2799
2015,Sense sostre,Nombre Total,945
2015,Sense habitatge,Nombre Total,996
2015,Habitatge insegur,Nombre Total,424
2015,Habitatge inadequat,Nombre Total,434
2017,,Nombre Total,3383
2017,Sense sostre,Nombre Total,1227
2017,Sense habitatge,Nombre Total,1303
2017,Habitatge insegur,Nombre Total,438
2017,Habitatge inadequat,Nombre Total,415
2019,,Nombre Total,3684
2019,Sense sostre,Nombre Total,1286
2019,Sense habitatge,Nombre Total,1338
2019,Habitatge insegur,Nombre Total,562
2019,Habitatge inadequat,Nombre Total,498
