Year,Àrea Geogràfica,Llindar de pobresa,Units,Value
2016-2017,Barcelona,40% mediana,Percentatge,7.7
2017-2018,Barcelona,40% mediana,Percentatge,7.6
2018-2019,Barcelona,40% mediana,Percentatge,8.9
2019-2020,Barcelona,40% mediana,Percentatge,8.3
2020-2021,Barcelona,40% mediana,Percentatge,7.8
2021-2022,Barcelona,40% mediana,Percentatge,7.6
2022-2023,Barcelona,40% mediana,Percentatge,8.3
2024-2025,Barcelona,40% mediana,Percentatge,6.1
2016-2017,Àrea Metropolitana Barcelona,40% mediana,Percentatge,7.6
2017-2018,Àrea Metropolitana Barcelona,40% mediana,Percentatge,8.5
2018-2019,Àrea Metropolitana Barcelona,40% mediana,Percentatge,9.9
2019-2020,Àrea Metropolitana Barcelona,40% mediana,Percentatge,9.2
2020-2021,Àrea Metropolitana Barcelona,40% mediana,Percentatge,10.3
2021-2022,Àrea Metropolitana Barcelona,40% mediana,Percentatge,10.0
2022-2023,Àrea Metropolitana Barcelona,40% mediana,Percentatge,8.7
2024-2025,Àrea Metropolitana Barcelona,40% mediana,Percentatge,7.8
2016-2017,Barcelona,60% mediana,Percentatge,19.0
2017-2018,Barcelona,60% mediana,Percentatge,19.3
2018-2019,Barcelona,60% mediana,Percentatge,18.2
2019-2020,Barcelona,60% mediana,Percentatge,17.2
2020-2021,Barcelona,60% mediana,Percentatge,19.5
2021-2022,Barcelona,60% mediana,Percentatge,18.6
2022-2023,Barcelona,60% mediana,Percentatge,19.7
2024-2025,Barcelona,60% mediana,Percentatge,16.4
2016-2017,Àrea Metropolitana Barcelona,60% mediana,Percentatge,21.1
2017-2018,Àrea Metropolitana Barcelona,60% mediana,Percentatge,21.9
2018-2019,Àrea Metropolitana Barcelona,60% mediana,Percentatge,20.9
2019-2020,Àrea Metropolitana Barcelona,60% mediana,Percentatge,20.4
2020-2021,Àrea Metropolitana Barcelona,60% mediana,Percentatge,22.3
2021-2022,Àrea Metropolitana Barcelona,60% mediana,Percentatge,21.2
2022-2023,Àrea Metropolitana Barcelona,60% mediana,Percentatge,19.8
2024-2025,Àrea Metropolitana Barcelona,60% mediana,Percentatge,19.4
