Year,Tipus atenció,Units,Value
2015,Emergències socials,Nombre Total,2080
2015,Urgències socials,Nombre Total,28348
2016,Emergències socials,Nombre Total,1505
2016,Urgències socials,Nombre Total,28994
2017,Emergències socials,Nombre Total,2986
2017,Urgències socials,Nombre Total,28237
2018,Emergències socials,Nombre Total,2301
2018,Urgències socials,Nombre Total,27414
2019,Emergències socials,Nombre Total,1496
2019,Urgències socials,Nombre Total,22340
2020,Emergències socials,Nombre Total,1353
2020,Urgències socials,Nombre Total,27817
2021,Emergències socials,Nombre Total,1668
2021,Urgències socials,Nombre Total,34488
2022,Emergències socials,Nombre Total,15344
2022,Urgències socials,Nombre Total,42265
2023,Emergències socials,Nombre Total,3081
2023,Urgències socials,Nombre Total,37491
2024,Emergències socials,Nombre Total,5663
2024,Urgències socials,Nombre Total,31484
2025,Emergències socials,Nombre Total,3178
2025,Urgències socials,Nombre Total,32586
