Year,Sexe,Units,Value
2016,,Percentatge,15.2
2017,,Percentatge,15.4
2018,,Percentatge,14.7
2019,,Percentatge,16.5
2020,,Percentatge,14.4
2021,,Percentatge,14.9
2022,,Percentatge,18.9
2023,,Percentatge,19.4
2024,,Percentatge,19.3
2025,,Percentatge,17.8
2026,,Percentatge,12.6
2019,Homes,Percentatge,17.0
2020,Homes,Percentatge,14.5
2021,Homes,Percentatge,14.8
2022,Homes,Percentatge,20.6
2023,Homes,Percentatge,19.5
2024,Homes,Percentatge,21.5
2025,Homes,Percentatge,19.0
2026,Homes,Percentatge,13.4
2019,Dones,Percentatge,16.1
2020,Dones,Percentatge,14.3
2021,Dones,Percentatge,15.0
2022,Dones,Percentatge,17.3
2023,Dones,Percentatge,19.3
2024,Dones,Percentatge,17.3
2025,Dones,Percentatge,16.8
2026,Dones,Percentatge,12.0
