Year,Geographical_origin,Units,Value
2015,,Percentatge,100.0
2015,Catalonia,Percentatge,18.7
2015,Rest of Spain,Percentatge,55.2
2015,Imported,Percentatge,26.0
2016,,Percentatge,100.0
2016,Catalonia,Percentatge,18.3
2016,Rest of Spain,Percentatge,56.4
2016,Imported,Percentatge,25.3
2017,,Percentatge,100.0
2017,Catalonia,Percentatge,14.2
2017,Rest of Spain,Percentatge,56.9
2017,Imported,Percentatge,28.9
2018,,Percentatge,100.0
2018,Catalonia,Percentatge,13.0
2018,Rest of Spain,Percentatge,59.6
2018,Imported,Percentatge,27.4
2019,,Percentatge,100.0
2019,Catalonia,Percentatge,11.6
2019,Rest of Spain,Percentatge,57.1
2019,Imported,Percentatge,31.3
2020,,Percentatge,100.0
2020,Catalonia,Percentatge,12.9
2020,Rest of Spain,Percentatge,55.9
2020,Imported,Percentatge,31.2
2021,,Percentatge,100.0
2021,Catalonia,Percentatge,14.0
2021,Rest of Spain,Percentatge,52.7
2021,Imported,Percentatge,33.3
2022,,Percentatge,100.0
2022,Catalonia,Percentatge,14.6
2022,Rest of Spain,Percentatge,56.0
2022,Imported,Percentatge,29.4
