Year,Units,Value
2015,Nombre d'assentaments il·legals,56
2016,Nombre d'assentaments il·legals,62
2017,Nombre d'assentaments il·legals,72
2018,Nombre d'assentaments il·legals,79
2019,Nombre d'assentaments il·legals,77
2020,Nombre d'assentaments il·legals,75
2021,Nombre d'assentaments il·legals,81
2022,Nombre d'assentaments il·legals,66
2023,Nombre d'assentaments il·legals,77
2024,Nombre d'assentaments il·legals,60
2017,Persones que viuen en assentaments il·legals,143
2018,Persones que viuen en assentaments il·legals,339
2019,Persones que viuen en assentaments il·legals,396
2020,Persones que viuen en assentaments il·legals,428
2021,Persones que viuen en assentaments il·legals,476
2022,Persones que viuen en assentaments il·legals,385
2023,Persones que viuen en assentaments il·legals,354
2024,Persones que viuen en assentaments il·legals,276
