Year,Sexe,Units,Value
2015,,Número total per 100.000 habitants,26.4
2016,,Número total per 100.000 habitants,32.4
2017,,Número total per 100.000 habitants,24.5
2018,,Número total per 100.000 habitants,20.8
2019,,Número total per 100.000 habitants,28.7
2020,,Número total per 100.000 habitants,19.1
2021,,Número total per 100.000 habitants,20.7
2022,,Número total per 100.000 habitants,19.9
2015,Homes,Número total per 100.000 habitants,34.8
2016,Homes,Número total per 100.000 habitants,44.2
2017,Homes,Número total per 100.000 habitants,33.4
2018,Homes,Número total per 100.000 habitants,30.7
2019,Homes,Número total per 100.000 habitants,41.0
2020,Homes,Número total per 100.000 habitants,27.7
2021,Homes,Número total per 100.000 habitants,28.6
2022,Homes,Número total per 100.000 habitants,25.5
2023,Homes,Número total per 100.000 habitants,24.6
2024,Homes,Número total per 100.000 habitants,30.6
2015,Dones,Número total per 100.000 habitants,16.6
2016,Dones,Número total per 100.000 habitants,18.7
2017,Dones,Número total per 100.000 habitants,14.8
2018,Dones,Número total per 100.000 habitants,9.8
2019,Dones,Número total per 100.000 habitants,15.5
2020,Dones,Número total per 100.000 habitants,9.5
2021,Dones,Número total per 100.000 habitants,12.0
2022,Dones,Número total per 100.000 habitants,12.5
2023,Dones,Número total per 100.000 habitants,16.2
2024,Dones,Número total per 100.000 habitants,14.1
