Year,Àrea Geogràfica,Units,Value
2015,Europeu,Nombre Total,5
2015,Global,Nombre Total,18
2016,Europeu,Nombre Total,5
2016,Global,Nombre Total,18
2017,Europeu,Nombre Total,5
2017,Global,Nombre Total,21
2018,Europeu,Nombre Total,5
2018,Global,Nombre Total,23
2019,Europeu,Nombre Total,5
2019,Global,Nombre Total,23
2020,Europeu,Nombre Total,5
2020,Global,Nombre Total,20
2021,Europeu,Nombre Total,6
2021,Global,Nombre Total,20
2022,Europeu,Nombre Total,7
2022,Global,Nombre Total,22
2023,Europeu,Nombre Total,6
2023,Global,Nombre Total,20
2024,Europeu,Nombre Total,6
2024,Global,Nombre Total,20
