Year,Sexe,Units,Value
2015,,Percentatge,83.7
2016,,Percentatge,85.5
2017,,Percentatge,85.7
2018,,Percentatge,87.7
2019,,Percentatge,88.5
2020,,Percentatge,84.0
2021,,Percentatge,85.4
2022,,Percentatge,86.3
2023,,Percentatge,86.2
2024,,Percentatge,85.9
2025,,Percentatge,85.4
2015,Homes,Percentatge,86.9
2016,Homes,Percentatge,88.8
2017,Homes,Percentatge,88.1
2018,Homes,Percentatge,90.1
2019,Homes,Percentatge,91.1
2020,Homes,Percentatge,87.1
2021,Homes,Percentatge,88.4
2022,Homes,Percentatge,88.9
2023,Homes,Percentatge,88.8
2024,Homes,Percentatge,90.0
2025,Homes,Percentatge,88.5
2015,Dones,Percentatge,81.0
2016,Dones,Percentatge,82.5
2017,Dones,Percentatge,83.6
2018,Dones,Percentatge,85.7
2019,Dones,Percentatge,86.3
2020,Dones,Percentatge,81.3
2021,Dones,Percentatge,82.7
2022,Dones,Percentatge,83.9
2023,Dones,Percentatge,83.8
2024,Dones,Percentatge,82.4
2025,Dones,Percentatge,82.6
