Year,Tipus Habitatge,Units,Value
2016,,Nombre Total,3231
2016,Sense sostre,Nombre Total,941
2016,Població sense llar atesa en centres residencials col·lectius o allotjaments individuals,Nombre Total,1907
2016,Habitatge inadequat,Nombre Total,383
2017,,Nombre Total,3447
2017,Sense sostre,Nombre Total,1026
2017,Població sense llar atesa en centres residencials col·lectius o allotjaments individuals,Nombre Total,2006
2017,Habitatge inadequat,Nombre Total,415
2018,,Nombre Total,3530
2018,Sense sostre,Nombre Total,956
2018,Població sense llar atesa en centres residencials col·lectius o allotjaments individuals,Nombre Total,2130
2018,Habitatge inadequat,Nombre Total,444
2021,,Nombre Total,4043
2021,Sense sostre,Nombre Total,895
2021,Població sense llar atesa en centres residencials col·lectius o allotjaments individuals,Nombre Total,2808
2021,Habitatge inadequat,Nombre Total,340
2022,,Nombre Total,4197
2022,Sense sostre,Nombre Total,1063
2022,Població sense llar atesa en centres residencials col·lectius o allotjaments individuals,Nombre Total,2803
2022,Habitatge inadequat,Nombre Total,331
