Year,Tipus de servei cultural,Units,Value
2016,Biblioteca pública,Percentatge,16.5
2017,Biblioteca pública,Percentatge,
2018,Biblioteca pública,Percentatge,
2019,Biblioteca pública,Percentatge,13.8
2020,Biblioteca pública,Percentatge,13.2
2021,Biblioteca pública,Percentatge,14.8
2022,Biblioteca pública,Percentatge,16.4
2023,Biblioteca pública,Percentatge,17.1
2024,Biblioteca pública,Percentatge,15.7
2025,Biblioteca pública,Percentatge,13.7
2016,Festes populars,Percentatge,11.7
2017,Festes populars,Percentatge,
2018,Festes populars,Percentatge,
2019,Festes populars,Percentatge,16.1
2020,Festes populars,Percentatge,14.4
2021,Festes populars,Percentatge,9.5
2022,Festes populars,Percentatge,14.0
2023,Festes populars,Percentatge,16.9
2024,Festes populars,Percentatge,13.9
2025,Festes populars,Percentatge,11.2
2016,Activitat cultural,Percentatge,23.7
2017,Activitat cultural,Percentatge,
2018,Activitat cultural,Percentatge,
2019,Activitat cultural,Percentatge,22.4
2020,Activitat cultural,Percentatge,23.9
2021,Activitat cultural,Percentatge,21.1
2022,Activitat cultural,Percentatge,26.6
2023,Activitat cultural,Percentatge,27.6
2024,Activitat cultural,Percentatge,22.6
2025,Activitat cultural,Percentatge,20.6
