Year,Tipus de transport públic,Units,Value
2015,Metro,Puntuació 0-10,7.6
2016,Metro,Puntuació 0-10,7.2
2017,Metro,Puntuació 0-10,7.2
2018,Metro,Puntuació 0-10,7.7
2019,Metro,Puntuació 0-10,7.5
2020,Metro,Puntuació 0-10,7.2
2021,Metro,Puntuació 0-10,7.5
2022,Metro,Puntuació 0-10,7.5
2023,Metro,Puntuació 0-10,7.3
2024,Metro,Puntuació 0-10,7.4
2025,Metro,Puntuació 0-10,7.5
2015,Bus,Puntuació 0-10,7.2
2016,Bus,Puntuació 0-10,6.9
2017,Bus,Puntuació 0-10,7.1
2018,Bus,Puntuació 0-10,7.3
2019,Bus,Puntuació 0-10,7.3
2020,Bus,Puntuació 0-10,7.2
2021,Bus,Puntuació 0-10,7.5
2022,Bus,Puntuació 0-10,7.4
2023,Bus,Puntuació 0-10,7.3
2024,Bus,Puntuació 0-10,7.5
2025,Bus,Puntuació 0-10,7.4
2015,Bicing,Puntuació 0-10,7.0
2016,Bicing,Puntuació 0-10,7.1
2017,Bicing,Puntuació 0-10,7.2
2018,Bicing,Puntuació 0-10,7.2
2019,Bicing,Puntuació 0-10,7.9
2020,Bicing,Puntuació 0-10,7.5
2021,Bicing,Puntuació 0-10,7.6
2022,Bicing,Puntuació 0-10,7.6
2023,Bicing,Puntuació 0-10,7.1
2024,Bicing,Puntuació 0-10,7.0
2025,Bicing,Puntuació 0-10,7.0
2015,Tram,Puntuació 0-10,
2016,Tram,Puntuació 0-10,
2017,Tram,Puntuació 0-10,7.7
2018,Tram,Puntuació 0-10,8.1
2019,Tram,Puntuació 0-10,7.9
2020,Tram,Puntuació 0-10,7.8
2021,Tram,Puntuació 0-10,7.9
2022,Tram,Puntuació 0-10,8.0
2023,Tram,Puntuació 0-10,7.9
2024,Tram,Puntuació 0-10,8.0
2025,Tram,Puntuació 0-10,8.2
