Year,Type_Transport,Units,Value
2015,Private motorized,Percentatge,16.6
2015,Taxi,Percentatge,1.0
2015,Transport public,Percentatge,66.1
2015,Bicicle and electric scooter,Percentatge,5.2
2015,A peu,Percentatge,10.9
2015,Altres,Percentatge,0.2
2016,Private motorized,Percentatge,17.6
2016,Taxi,Percentatge,1.1
2016,Transport public,Percentatge,66.4
2016,Bicicle and electric scooter,Percentatge,5.4
2016,A peu,Percentatge,9.3
2016,Altres,Percentatge,0.2
2017,Private motorized,Percentatge,17.3
2017,Taxi,Percentatge,1.1
2017,Transport public,Percentatge,64.2
2017,Bicicle and electric scooter,Percentatge,6.3
2017,A peu,Percentatge,9.1
2017,Altres,Percentatge,2.0
2018,Private motorized,Percentatge,17.1
2018,Taxi,Percentatge,1.6
2018,Transport public,Percentatge,64.6
2018,Bicicle and electric scooter,Percentatge,6.4
2018,A peu,Percentatge,9.9
2018,Altres,Percentatge,0.4
2019,Private motorized,Percentatge,17.0
2019,Taxi,Percentatge,1.3
2019,Transport public,Percentatge,65.4
2019,Bicicle and electric scooter,Percentatge,7.3
2019,A peu,Percentatge,8.7
2019,Altres,Percentatge,0.3
2020,Private motorized,Percentatge,18.7
2020,Taxi,Percentatge,1.6
2020,Transport public,Percentatge,57.4
2020,Bicicle and electric scooter,Percentatge,9.9
2020,A peu,Percentatge,12.2
2020,Altres,Percentatge,0.2
2021,Private motorized,Percentatge,17.9
2021,Taxi,Percentatge,1.4
2021,Transport public,Percentatge,58.1
2021,Bicicle and electric scooter,Percentatge,9.3
2021,A peu,Percentatge,13.2
2021,Altres,Percentatge,0.1
2022,Private motorized,Percentatge,16.8
2022,Taxi,Percentatge,1.7
2022,Transport public,Percentatge,61.2
2022,Bicicle and electric scooter,Percentatge,7.8
2022,A peu,Percentatge,12.4
2022,Altres,Percentatge,0.1
2023,Private motorized,Percentatge,16.3
2023,Taxi,Percentatge,1.7
2023,Transport public,Percentatge,62.5
2023,Bicicle and electric scooter,Percentatge,7.7
2023,A peu,Percentatge,11.5
2023,Altres,Percentatge,0.2
2024,Private motorized,Percentatge,14.4
2024,Taxi,Percentatge,1.4
2024,Transport public,Percentatge,65.9
2024,Bicicle and electric scooter,Percentatge,7.6
2024,A peu,Percentatge,10.6
2024,Altres,Percentatge,0.1
2025,Private motorized,Percentatge,14.7
2025,Taxi,Percentatge,1.0
2025,Transport public,Percentatge,61.4
2025,Bicicle and electric scooter,Percentatge,7.0
2025,A peu,Percentatge,15.7
2025,Altres,Percentatge,0.1
