Year,Units,Value
1999,Milions d'euros,11.3
2000,Milions d'euros,7.5
2001,Milions d'euros,2.7
2002,Milions d'euros,8.9
2003,Milions d'euros,1.2
2004,Milions d'euros,1.0
2005,Milions d'euros,3.0
2006,Milions d'euros,5.4
2007,Milions d'euros,0.1
2008,Milions d'euros,4.4
2009,Milions d'euros,8.7
2010,Milions d'euros,0.1
2011,Milions d'euros,2.6
2012,Milions d'euros,0.0
2013,Milions d'euros,0.1
2014,Milions d'euros,1.3
2015,Milions d'euros,0.0
2016,Milions d'euros,0.0
2017,Milions d'euros,0.2
2018,Milions d'euros,6.2
2019,Milions d'euros,3.3
2020,Milions d'euros,22.3
2021,Milions d'euros,0.1
