Year,Àrea,Sexe,Units,Value
2015,Barri,,Escala de 0 a 10,6.3
2016,Barri,,Escala de 0 a 10,6.5
2017,Barri,,Escala de 0 a 10,6.4
2018,Barri,,Escala de 0 a 10,5.9
2019,Barri,,Escala de 0 a 10,5.9
2020,Barri,,Escala de 0 a 10,6.2
2021,Barri,,Escala de 0 a 10,6.1
2022,Barri,,Escala de 0 a 10,6.1
2015,Barri,Homes,Escala de 0 a 10,6.5
2016,Barri,Homes,Escala de 0 a 10,6.5
2017,Barri,Homes,Escala de 0 a 10,6.6
2018,Barri,Homes,Escala de 0 a 10,6.5
2019,Barri,Homes,Escala de 0 a 10,5.9
2020,Barri,Homes,Escala de 0 a 10,5.9
2021,Barri,Homes,Escala de 0 a 10,6.3
2022,Barri,Homes,Escala de 0 a 10,6.1
2015,Barri,Dones,Escala de 0 a 10,6.2
2016,Barri,Dones,Escala de 0 a 10,6.5
2017,Barri,Dones,Escala de 0 a 10,6.5
2018,Barri,Dones,Escala de 0 a 10,6.4
2019,Barri,Dones,Escala de 0 a 10,5.9
2020,Barri,Dones,Escala de 0 a 10,5.8
2021,Barri,Dones,Escala de 0 a 10,6.2
2022,Barri,Dones,Escala de 0 a 10,6.1
2015,Ciutat,,Escala de 0 a 10,6.2
2016,Ciutat,,Escala de 0 a 10,6.3
2017,Ciutat,,Escala de 0 a 10,6.2
2018,Ciutat,,Escala de 0 a 10,5.2
2019,Ciutat,,Escala de 0 a 10,5.2
2020,Ciutat,,Escala de 0 a 10,5.6
2021,Ciutat,,Escala de 0 a 10,5.4
2022,Ciutat,,Escala de 0 a 10,5.4
2015,Ciutat,Homes,Escala de 0 a 10,6.3
2016,Ciutat,Homes,Escala de 0 a 10,6.0
2017,Ciutat,Homes,Escala de 0 a 10,6.4
2018,Ciutat,Homes,Escala de 0 a 10,6.3
2019,Ciutat,Homes,Escala de 0 a 10,5.3
2020,Ciutat,Homes,Escala de 0 a 10,5.3
2021,Ciutat,Homes,Escala de 0 a 10,5.7
2022,Ciutat,Homes,Escala de 0 a 10,5.5
2015,Ciutat,Dones,Escala de 0 a 10,6.0
2016,Ciutat,Dones,Escala de 0 a 10,5.9
2017,Ciutat,Dones,Escala de 0 a 10,6.2
2018,Ciutat,Dones,Escala de 0 a 10,6.0
2019,Ciutat,Dones,Escala de 0 a 10,5.1
2020,Ciutat,Dones,Escala de 0 a 10,5.2
2021,Ciutat,Dones,Escala de 0 a 10,5.5
2022,Ciutat,Dones,Escala de 0 a 10,5.4
