Year,Sexe,Units,Value
2015,,Percentatge,38.6
2016,,Percentatge,41.5
2017,,Percentatge,43.4
2018,,Percentatge,48.6
2019,,Percentatge,45.9
2020,,Percentatge,42.0
2021,,Percentatge,44.2
2022,,Percentatge,44.8
2023,,Percentatge,42.9
2024,,Percentatge,45.3
2025,,Percentatge,45.8
2015,Homes,Percentatge,43.9
2016,Homes,Percentatge,45.2
2017,Homes,Percentatge,48.2
2018,Homes,Percentatge,52.3
2019,Homes,Percentatge,49.8
2020,Homes,Percentatge,46.8
2021,Homes,Percentatge,47.0
2022,Homes,Percentatge,46.0
2023,Homes,Percentatge,45.2
2024,Homes,Percentatge,48.8
2025,Homes,Percentatge,51.2
2015,Dones,Percentatge,34.0
2016,Dones,Percentatge,38.4
2017,Dones,Percentatge,39.2
2018,Dones,Percentatge,45.4
2019,Dones,Percentatge,42.6
2020,Dones,Percentatge,37.8
2021,Dones,Percentatge,41.6
2022,Dones,Percentatge,42.5
2023,Dones,Percentatge,41.4
2024,Dones,Percentatge,42.4
2025,Dones,Percentatge,41.0
