Year,Àrea Geogràfica,Units,Value
2015,Catalunya,Percentatge,24.6
2015,Barcelona,Percentatge,26.9
2016,Catalunya,Percentatge,24.8
2016,Barcelona,Percentatge,27.9
2017,Catalunya,Percentatge,23.5
2017,Barcelona,Percentatge,23.9
2018,Catalunya,Percentatge,20.0
2018,Barcelona,Percentatge,22.4
2019,Catalunya,Percentatge,18.4
2019,Barcelona,Percentatge,20.6
2020,Catalunya,Percentatge,17.5
2020,Barcelona,Percentatge,19.3
2021,Catalunya,Percentatge,15.0
2021,Barcelona,Percentatge,17.4
2022,Catalunya,Percentatge,12.4
2022,Barcelona,Percentatge,14.9
