Year,Origen Geogràfic,Units,Value
2015,Catalunya,Percentatge,18.7
2015,Resta d'Espanya,Percentatge,55.2
2015,Importat,Percentatge,26.0
2016,Catalunya,Percentatge,18.3
2016,Resta d'Espanya,Percentatge,56.4
2016,Importat,Percentatge,25.3
2017,Catalunya,Percentatge,14.2
2017,Resta d'Espanya,Percentatge,56.9
2017,Importat,Percentatge,28.9
2018,Catalunya,Percentatge,13.0
2018,Resta d'Espanya,Percentatge,59.6
2018,Importat,Percentatge,27.4
2019,Catalunya,Percentatge,11.6
2019,Resta d'Espanya,Percentatge,57.1
2019,Importat,Percentatge,31.3
2020,Catalunya,Percentatge,12.9
2020,Resta d'Espanya,Percentatge,55.9
2020,Importat,Percentatge,31.2
2021,Catalunya,Percentatge,14.0
2021,Resta d'Espanya,Percentatge,52.7
2021,Importat,Percentatge,33.3
2022,Catalunya,Percentatge,14.6
2022,Resta d'Espanya,Percentatge,56.0
2022,Importat,Percentatge,29.4
2023,Catalunya,Percentatge,14.7
2023,Resta d'Espanya,Percentatge,57.6
2023,Importat,Percentatge,27.7
2024,Catalunya,Percentatge,15.2
2024,Resta d'Espanya,Percentatge,60.4
2024,Importat,Percentatge,24.5
2025,Catalunya,Percentatge,15.1
2025,Resta d'Espanya,Percentatge,60.3
2025,Importat,Percentatge,24.6
