Year,Sexe,Units,Value
2018,Homes,Taxa per 100.000,273.0
2018,Dones,Taxa per 100.000,39.8
2018,,Taxa per 100.000,150.5
2019,Homes,Taxa per 100.000,350.5
2019,Dones,Taxa per 100.000,54.5
2019,,Taxa per 100.000,195.2
2020,Homes,Taxa per 100.000,355.9
2020,Dones,Taxa per 100.000,49.5
2020,,Taxa per 100.000,195.2
2021,Homes,Taxa per 100.000,504.3
2021,Dones,Taxa per 100.000,56.3
2021,,Taxa per 100.000,269.9
2022,Homes,Taxa per 100.000,610.6
2022,Dones,Taxa per 100.000,81.5
2022,,Taxa per 100.000,393.4
2023,Homes,Taxa per 100.000,807.4
2023,Dones,Taxa per 100.000,104.2
2023,,Taxa per 100.000,438.7
2024,Homes,Taxa per 100.000,807.2
2024,Dones,Taxa per 100.000,91.8
2024,,Taxa per 100.000,433.7
