Year,Tipus de segregació,Ensenyament,Units,Value
2018-2019,Alumnat estranger,Primària,Índex,0.44
2018-2019,Necessitats Educatives Especials,Primària,Índex,0.39
2018-2019,Alumnat estranger,ESO,Índex,0.41
2018-2019,Necessitats Educatives Especials,ESO,Índex,0.29
2021-2022,Alumnat estranger,Primària,Índex,0.35
2021-2022,Necessitats Educatives Especials,Primària,Índex,0.44
2021-2022,Alumnat estranger,ESO,Índex,0.34
2021-2022,Necessitats Educatives Especials,ESO,Índex,0.4
2022-2023,Alumnat estranger,Primària,Índex,0.3
2022-2023,Necessitats Educatives Especials,Primària,Índex,0.4
2022-2023,Alumnat estranger,ESO,Índex,0.31
2022-2023,Necessitats Educatives Especials,ESO,Índex,0.37
2024-2025,Alumnat estranger,Primària,Índex,0.24
2024-2025,Necessitats Educatives Especials,Primària,Índex,0.37
2024-2025,Alumnat estranger,ESO,Índex,0.27
2024-2025,Necessitats Educatives Especials,ESO,Índex,0.34
