Year,Management_Entity,Units,Value
2015,Xarxa CDIAP de Barcelona,Nombre Total,
2016,Xarxa CDIAP de Barcelona,Nombre Total,
2017,Xarxa CDIAP de Barcelona,Nombre Total,
2018,Xarxa CDIAP de Barcelona,Nombre Total,
2019,Xarxa CDIAP de Barcelona,Nombre Total,6671.0
2020,Xarxa CDIAP de Barcelona,Nombre Total,6281.0
2021,Xarxa CDIAP de Barcelona,Nombre Total,6097.0
2022,Xarxa CDIAP de Barcelona,Nombre Total,7353.0
2023,Xarxa CDIAP de Barcelona,Nombre Total,8500.0
2015,IMPD. Ajuntament de Barcelona,Nombre Total,774.0
2016,IMPD. Ajuntament de Barcelona,Nombre Total,815.0
2017,IMPD. Ajuntament de Barcelona,Nombre Total,913.0
2018,IMPD. Ajuntament de Barcelona,Nombre Total,1066.0
2019,IMPD. Ajuntament de Barcelona,Nombre Total,1179.0
2020,IMPD. Ajuntament de Barcelona,Nombre Total,1369.0
2021,IMPD. Ajuntament de Barcelona,Nombre Total,1611.0
2022,IMPD. Ajuntament de Barcelona,Nombre Total,1738.0
2023,IMPD. Ajuntament de Barcelona,Nombre Total,1809.0
2024,IMPD. Ajuntament de Barcelona,Nombre Total,1978.0
