Year,Escenari,Units,Value
2015,Normalitat,Number of days,365
2016,Normalitat,Number of days,280
2017,Normalitat,Number of days,264
2018,Normalitat,Number of days,287
2019,Normalitat,Number of days,321
2020,Normalitat,Number of days,365
2021,Normalitat,Number of days,365
2022,Normalitat,Number of days,20
2015,Pre-alerta,Number of days,0
2016,Pre-alerta,Number of days,85
2017,Pre-alerta,Number of days,101
2018,Pre-alerta,Number of days,37
2019,Pre-alerta,Number of days,44
2020,Pre-alerta,Number of days,0
2021,Pre-alerta,Number of days,0
2022,Pre-alerta,Number of days,173
2015,Pre-alert2,Number of days,0
2016,Pre-alert2,Number of days,0
2017,Pre-alert2,Number of days,0
2018,Pre-alert2,Number of days,41
2019,Pre-alert2,Number of days,0
2020,Pre-alert2,Number of days,0
2021,Pre-alert2,Number of days,0
2022,Pre-alert2,Number of days,127
2015,Alerta,Number of days,0
2016,Alerta,Number of days,0
2017,Alerta,Number of days,0
2018,Alerta,Number of days,0
2019,Alerta,Number of days,0
2020,Alerta,Number of days,0
2021,Alerta,Number of days,0
2022,Alerta,Number of days,45
2015,Excepcionalitat,Number of days,0
2016,Excepcionalitat,Number of days,0
2017,Excepcionalitat,Number of days,0
2018,Excepcionalitat,Number of days,0
2019,Excepcionalitat,Number of days,0
2020,Excepcionalitat,Number of days,0
2021,Excepcionalitat,Number of days,0
2022,Excepcionalitat,Number of days,0
2015,Emergència,Number of days,0
2016,Emergència,Number of days,0
2017,Emergència,Number of days,0
2018,Emergència,Number of days,0
2019,Emergència,Number of days,0
2020,Emergència,Number of days,0
2021,Emergència,Number of days,0
2022,Emergència,Number of days,0
