Year,Units,Value
2015,Nombre d'assentaments il·legals,56
2016,Nombre d'assentaments il·legals,62
2017,Nombre d'assentaments il·legals,72
2018,Nombre d'assentaments il·legals,79
2019,Nombre d'assentaments il·legals,77
2020,Nombre d'assentaments il·legals,75
2021,Nombre d'assentaments il·legals,81
2022,Nombre d'assentaments il·legals,66
2023,Nombre d'assentaments il·legals,77
2024,Nombre d'assentaments il·legals,62
2025,Nombre d'assentaments il·legals,53
2017,Persones que viuen en assentaments il·legals,533
2018,Persones que viuen en assentaments il·legals,481
2019,Persones que viuen en assentaments il·legals,425
2020,Persones que viuen en assentaments il·legals,402
2021,Persones que viuen en assentaments il·legals,363
2022,Persones que viuen en assentaments il·legals,273
2023,Persones que viuen en assentaments il·legals,278
2024,Persones que viuen en assentaments il·legals,256
2025,Persones que viuen en assentaments il·legals,299
