Year,Àrea Geogràfica,Units,Value
2015,Barcelona,Nombre Total,240.0
2015,Àrea Metropolitana Barcelona,Nombre Total,227.9
2015,Catalunya,Nombre Total,183.8
2015,Espanya,Nombre Total,114.2
2016,Barcelona,Nombre Total,231.3
2016,Àrea Metropolitana Barcelona,Nombre Total,220.9
2016,Catalunya,Nombre Total,181.1
2016,Espanya,Nombre Total,119.9
2017,Barcelona,Nombre Total,206.1
2017,Àrea Metropolitana Barcelona,Nombre Total,182.1
2017,Catalunya,Nombre Total,159.0
2017,Espanya,Nombre Total,110.6
2018,Barcelona,Nombre Total,174.4
2018,Àrea Metropolitana Barcelona,Nombre Total,179.4
2018,Catalunya,Nombre Total,154.0
2018,Espanya,Nombre Total,108.7
2019,Barcelona,Nombre Total,170.9
2019,Àrea Metropolitana Barcelona,Nombre Total,178.2
2019,Catalunya,Nombre Total,157.3
2019,Espanya,Nombre Total,109.6
2020,Barcelona,Nombre Total,199.0
2020,Àrea Metropolitana Barcelona,Nombre Total,180.1
2020,Catalunya,Nombre Total,160.4
2020,Espanya,Nombre Total,120.3
2021,Barcelona,Nombre Total,185.3
2021,Àrea Metropolitana Barcelona,Nombre Total,154.2
2021,Catalunya,Nombre Total,136.3
2021,Espanya,Nombre Total,109.3
