Year,Sexe,Units,Value
2015,,Percentatge,83.7
2016,,Percentatge,85.5
2017,,Percentatge,85.7
2018,,Percentatge,87.7
2019,,Percentatge,88.5
2020,,Percentatge,84.0
2021,,Percentatge,85.4
2022,,Percentatge,86.3
2015,Homes,Percentatge,83.7
2016,Homes,Percentatge,85.5
2017,Homes,Percentatge,85.7
2018,Homes,Percentatge,87.7
2019,Homes,Percentatge,88.5
2020,Homes,Percentatge,84.0
2021,Homes,Percentatge,85.4
2022,Homes,Percentatge,86.3
2015,Dones,Percentatge,83.7
2016,Dones,Percentatge,85.5
2017,Dones,Percentatge,85.7
2018,Dones,Percentatge,87.7
2019,Dones,Percentatge,88.5
2020,Dones,Percentatge,84.0
2021,Dones,Percentatge,85.4
2022,Dones,Percentatge,86.3
