Year,Value,Units
1999,11.0,Milions d'euros
2000,4.5,Milions d'euros
2001,0.0,Milions d'euros
2002,8.5,Milions d'euros
2003,0.0,Milions d'euros
2004,0.0,Milions d'euros
2005,2.8,Milions d'euros
2006,5.5,Milions d'euros
2007,0.0,Milions d'euros
2008,0.0,Milions d'euros
2009,0.0,Milions d'euros
2010,0.0,Milions d'euros
2011,2.5,Milions d'euros
2012,0.0,Milions d'euros
2013,0.0,Milions d'euros
2014,0.0,Milions d'euros
2015,0.0,Milions d'euros
2016,0.0,Milions d'euros
2017,0.0,Milions d'euros
2018,5.8,Milions d'euros
