Year,Value,Units
2015,54.1,Euros per nit
2016,,Euros per nit
2017,56.1,Euros per nit
2018,55.5,Euros per nit
2019,59.5,Euros per nit
2020,35.1,Euros per nit
2021,46.2,Euros per nit
2022,68.5,Euros per nit
2023,84.2,Euros per nit
2024,92.2,Euros per nit
2025,88.2,Euros per nit
2015,78.4,Euros per estada total
2016,,Euros per estada total
2017,79.4,Euros per estada total
2018,79.6,Euros per estada total
2019,82.3,Euros per estada total
2020,69.2,Euros per estada total
2021,71.9,Euros per estada total
2022,84.4,Euros per estada total
2023,91.7,Euros per estada total
2024,99.7,Euros per estada total
2025,106.3,Euros per estada total
