Year,Type_Public_Transport,Units,Value
2015,Metro,Rating 0-10,7.6
2016,Metro,Rating 0-10,7.2
2017,Metro,Rating 0-10,7.2
2018,Metro,Rating 0-10,7.7
2019,Metro,Rating 0-10,7.5
2020,Metro,Rating 0-10,7.2
2021,Metro,Rating 0-10,7.5
2022,Metro,Rating 0-10,7.5
2023,Metro,Rating 0-10,7.3
2024,Metro,Rating 0-10,7.4
2025,Metro,Rating 0-10,7.5
2015,Bus,Rating 0-10,7.2
2016,Bus,Rating 0-10,6.9
2017,Bus,Rating 0-10,7.1
2018,Bus,Rating 0-10,7.3
2019,Bus,Rating 0-10,7.3
2020,Bus,Rating 0-10,7.2
2021,Bus,Rating 0-10,7.5
2022,Bus,Rating 0-10,7.4
2023,Bus,Rating 0-10,7.3
2024,Bus,Rating 0-10,7.5
2025,Bus,Rating 0-10,7.4
2015,Bicing,Rating 0-10,7.0
2016,Bicing,Rating 0-10,7.1
2017,Bicing,Rating 0-10,7.2
2018,Bicing,Rating 0-10,7.2
2019,Bicing,Rating 0-10,7.9
2020,Bicing,Rating 0-10,7.5
2021,Bicing,Rating 0-10,7.6
2022,Bicing,Rating 0-10,7.6
2023,Bicing,Rating 0-10,7.1
2024,Bicing,Rating 0-10,7.0
2025,Bicing,Rating 0-10,7.0
2015,Tram,Rating 0-10,
2016,Tram,Rating 0-10,
2017,Tram,Rating 0-10,7.7
2018,Tram,Rating 0-10,8.1
2019,Tram,Rating 0-10,7.9
2020,Tram,Rating 0-10,7.8
2021,Tram,Rating 0-10,7.9
2022,Tram,Rating 0-10,8.0
2023,Tram,Rating 0-10,7.9
2024,Tram,Rating 0-10,8.0
2025,Tram,Rating 0-10,8.2
