Year,Air_Pollutants,Units,Value
2015,NO2,µg/m3,43.0
2016,NO2,µg/m3,39.0
2017,NO2,µg/m3,42.0
2018,NO2,µg/m3,40.0
2019,NO2,µg/m3,38.0
2020,NO2,µg/m3,28.0
2021,NO2,µg/m3,27.0
2022,NO2,µg/m3,31.0
2023,NO2,µg/m3,26.0
2024,NO2,µg/m3,25.0
2015,PM10,µg/m3,28.0
2016,PM10,µg/m3,24.0
2017,PM10,µg/m3,25.4
2018,PM10,µg/m3,24.1
2019,PM10,µg/m3,26.7
2020,PM10,µg/m3,22.6
2021,PM10,µg/m3,22.5
2022,PM10,µg/m3,25.1
2015,PM2.5,µg/m3,17.0
2016,PM2.5,µg/m3,14.0
2017,PM2.5,µg/m3,16.0
2018,PM2.5,µg/m3,16.0
2019,PM2.5,µg/m3,17.0
2020,PM2.5,µg/m3,13.0
2021,PM2.5,µg/m3,13.0
2022,PM2.5,µg/m3,15.0
2023,PM2.5,µg/m3,14.0
2024,PM2.5,µg/m3,14.0
