Year,Gender,Units,Value
2015,Men,Rate per 100.000,23.7
2015,Women,Rate per 100.000,12.2
2015,,Rate per 100.000,17.2
2016,Men,Rate per 100.000,20.5
2016,Women,Rate per 100.000,12.4
2016,,Rate per 100.000,16.1
2017,Men,Rate per 100.000,21.4
2017,Women,Rate per 100.000,13.0
2017,,Rate per 100.000,16.4
2018,Men,Rate per 100.000,19.2
2018,Women,Rate per 100.000,12.5
2018,,Rate per 100.000,16.0
2019,Men,Rate per 100.000,24.1
2019,Women,Rate per 100.000,12.9
2019,,Rate per 100.000,18.7
