Year,Gender,Units,Value
2015,,Total Number,27
2015,Men,Total Number,25
2015,Women,Total Number,2
2016,,Total Number,28
2016,Men,Total Number,16
2016,Women,Total Number,12
2017,,Total Number,12
2017,Men,Total Number,7
2017,Women,Total Number,5
2018,,Total Number,21
2018,Men,Total Number,16
2018,Women,Total Number,5
2019,,Total Number,22
2019,Men,Total Number,19
2019,Women,Total Number,3
2020,,Total Number,14
2020,Men,Total Number,12
2020,Women,Total Number,2
2021,,Total Number,12
2021,Men,Total Number,11
2021,Women,Total Number,1
2022,,Total Number,23
2022,Men,Total Number,17
2022,Women,Total Number,6
2023,,Total Number,20
2023,Men,Total Number,18
2023,Women,Total Number,2
2024,,Total Number,11
2024,Men,Total Number,9
2024,Women,Total Number,2
2025,,Total Number,11
