Year,Gender,District,Units,Value
2015-2016,,Barcelona,Percentage,89.50
2015-2016,,Ciutat Vella,Percentage,74.10
2015-2016,,Eixample,Percentage,92.90
2015-2016,,Sants-Montjuïc,Percentage,84.40
2015-2016,,Les Corts,Percentage,92.50
2015-2016,,Sarrià-Sant Gervasi,Percentage,94.10
2015-2016,,Gràcia,Percentage,94.20
2015-2016,,Horta-Guinardó,Percentage,90.20
2015-2016,,Nou Barris,Percentage,82.70
2015-2016,,Sant Andreu,Percentage,88.80
2015-2016,,Sant Martí,Percentage,88.20
2015-2016,,Gap,Percentage,20.10
2016-2017,,Barcelona,Percentage,89.50
2016-2017,,Ciutat Vella,Percentage,79.20
2016-2017,,Eixample,Percentage,89.50
2016-2017,,Sants-Montjuïc,Percentage,84.80
2016-2017,,Les Corts,Percentage,90.80
2016-2017,,Sarrià-Sant Gervasi,Percentage,94.20
2016-2017,,Gràcia,Percentage,95.50
2016-2017,,Horta-Guinardó,Percentage,89.60
2016-2017,,Nou Barris,Percentage,83.70
2016-2017,,Sant Andreu,Percentage,90.60
2016-2017,,Sant Martí,Percentage,89.00
2016-2017,,Gap,Percentage,16.30
2017-2018,,Barcelona,Percentage,90.70
2017-2018,,Ciutat Vella,Percentage,78.00
2017-2018,,Eixample,Percentage,92.60
2017-2018,,Sants-Montjuïc,Percentage,86.20
2017-2018,,Les Corts,Percentage,96.30
2017-2018,,Sarrià-Sant Gervasi,Percentage,95.80
2017-2018,,Gràcia,Percentage,96.00
2017-2018,,Horta-Guinardó,Percentage,88.30
2017-2018,,Nou Barris,Percentage,82.40
2017-2018,,Sant Andreu,Percentage,90.80
2017-2018,,Sant Martí,Percentage,90.30
2017-2018,,Gap,Percentage,18.30
2018-2019,,Barcelona,Percentage,90.00
2018-2019,,Ciutat Vella,Percentage,85.00
2018-2019,,Eixample,Percentage,91.80
2018-2019,,Sants-Montjuïc,Percentage,85.60
2018-2019,,Les Corts,Percentage,98.20
2018-2019,,Sarrià-Sant Gervasi,Percentage,97.40
2018-2019,,Gràcia,Percentage,93.80
2018-2019,,Horta-Guinardó,Percentage,87.30
2018-2019,,Nou Barris,Percentage,75.60
2018-2019,,Sant Andreu,Percentage,91.40
2018-2019,,Sant Martí,Percentage,86.30
2018-2019,,Gap,Percentage,22.60
2019-2020,,Barcelona,Percentage,92.10
2019-2020,,Ciutat Vella,Percentage,85.70
2019-2020,,Eixample,Percentage,93.50
2019-2020,,Sants-Montjuïc,Percentage,86.90
2019-2020,,Les Corts,Percentage,100.00
2019-2020,,Sarrià-Sant Gervasi,Percentage,97.40
2019-2020,,Gràcia,Percentage,96.60
2019-2020,,Horta-Guinardó,Percentage,91.10
2019-2020,,Nou Barris,Percentage,83.10
2019-2020,,Sant Andreu,Percentage,92.60
2019-2020,,Sant Martí,Percentage,88.2
2019-2020,,Gap,Percentage,17.40
2020-2021,,Barcelona,Percentage,89.9
2020-2021,,Ciutat Vella,Percentage,79.5
2020-2021,,Eixample,Percentage,93.4
2020-2021,,Sants-Montjuïc,Percentage,86.1
2020-2021,,Les Corts,Percentage,97.6
2020-2021,,Sarrià-Sant Gervasi,Percentage,95.6
2020-2021,,Gràcia,Percentage,95.7
2020-2021,,Horta-Guinardó,Percentage,86.9
2020-2021,,Nou Barris,Percentage,83.2
2020-2021,,Sant Andreu,Percentage,91.2
2020-2021,,Sant Martí,Percentage,83.6
2020-2021,,Gap,Percentage,18.1
2020-2021,Men,Barcelona,Percentage,88.3
2020-2021,Men,Ciutat Vella,Percentage,73.1
2020-2021,Men,Eixample,Percentage,91.0
2020-2021,Men,Sants-Montjuïc,Percentage,83.3
2020-2021,Men,Les Corts,Percentage,97.9
2020-2021,Men,Sarrià-Sant Gervasi,Percentage,94.4
2020-2021,Men,Gràcia,Percentage,94.0
2020-2021,Men,Horta-Guinardó,Percentage,86.1
2020-2021,Men,Nou Barris,Percentage,80.10
2020-2021,Men,Sant Andreu,Percentage,90.9
2020-2021,Men,Sant Martí,Percentage,83.0
2020-2021,Men,Gap,Percentage,24.8
2020-2021,Women,Barcelona,Percentage,91.5
2020-2021,Women,Ciutat Vella,Percentage,86.9
2020-2021,Women,Eixample,Percentage,95.8
2020-2021,Women,Sants-Montjuïc,Percentage,88.7
2020-2021,Women,Les Corts,Percentage,97.4
2020-2021,Women,Sarrià-Sant Gervasi,Percentage,96.7
2020-2021,Women,Gràcia,Percentage,97.4
2020-2021,Women,Horta-Guinardó,Percentage,87.7
2020-2021,Women,Nou Barris,Percentage,86.5
2020-2021,Women,Sant Andreu,Percentage,91.4
2020-2021,Women,Sant Martí,Percentage,84.1
2020-2021,Women,Gap,Percentage,13.3
2021-2022,,Barcelona,Percentage,91.2
2021-2022,,Ciutat Vella,Percentage,92.0
2021-2022,,Eixample,Percentage,94.8
2021-2022,,Sants-Montjuïc,Percentage,85.4
2021-2022,,Les Corts,Percentage,96.3
2021-2022,,Sarrià-Sant Gervasi,Percentage,94.3
2021-2022,,Gràcia,Percentage,95.3
2021-2022,,Horta-Guinardó,Percentage,92.0
2021-2022,,Nou Barris,Percentage,79.1
2021-2022,,Sant Andreu,Percentage,92.0
2021-2022,,Sant Martí,Percentage,89.8
2021-2022,,Gap,Percentage,17.2
2021-2022,Men,Barcelona,Percentage,89.5
2021-2022,Men,Ciutat Vella,Percentage,89.8
2021-2022,Men,Eixample,Percentage,90.5
2021-2022,Men,Sants-Montjuïc,Percentage,81.9
2021-2022,Men,Les Corts,Percentage,100.5
2021-2022,Men,Sarrià-Sant Gervasi,Percentage,93.7
2021-2022,Men,Gràcia,Percentage,93.6
2021-2022,Men,Horta-Guinardó,Percentage,89.0
2021-2022,Men,Nou Barris,Percentage,78.1
2021-2022,Men,Sant Andreu,Percentage,89.6
2021-2022,Men,Sant Martí,Percentage,87.3
2021-2022,Men,Gap,Percentage,22.4
2021-2022,Women,Barcelona,Percentage,93.0
2021-2022,Women,Ciutat Vella,Percentage,94.3
2021-2022,Women,Eixample,Percentage,99.2
2021-2022,Women,Sants-Montjuïc,Percentage,89.1
2021-2022,Women,Les Corts,Percentage,92.2
2021-2022,Women,Sarrià-Sant Gervasi,Percentage,94.9
2021-2022,Women,Gràcia,Percentage,97.2
2021-2022,Women,Horta-Guinardó,Percentage,95.2
2021-2022,Women,Nou Barris,Percentage,80.1
2021-2022,Women,Sant Andreu,Percentage,94.3
2021-2022,Women,Sant Martí,Percentage,92.4
2021-2022,Women,Gap,Percentage,19.1
2022-2023,,Barcelona,Percentage,91.5
2022-2023,,Ciutat Vella,Percentage,84.5
2022-2023,,Eixample,Percentage,94.8
2022-2023,,Sants-Montjuïc,Percentage,84.0
2022-2023,,Les Corts,Percentage,94.8
2022-2023,,Sarrià-Sant Gervasi,Percentage,94.7
2022-2023,,Gràcia,Percentage,96.3
2022-2023,,Horta-Guinardó,Percentage,93.2
2022-2023,,Nou Barris,Percentage,81.8
2022-2023,,Sant Andreu,Percentage,93.3
2022-2023,,Sant Martí,Percentage,91.3
2022-2023,,Gap,Percentage,14.5
2022-2023,Men,Barcelona,Percentage,90.3
2022-2023,Men,Ciutat Vella,Percentage,84.6
2022-2023,Men,Eixample,Percentage,93.5
2022-2023,Men,Sants-Montjuïc,Percentage,79.3
2022-2023,Men,Les Corts,Percentage,94.5
2022-2023,Men,Sarrià-Sant Gervasi,Percentage,95.2
2022-2023,Men,Gràcia,Percentage,94.7
2022-2023,Men,Horta-Guinardó,Percentage,93.3
2022-2023,Men,Nou Barris,Percentage,80.3
2022-2023,Men,Sant Andreu,Percentage,91.3
2022-2023,Men,Sant Martí,Percentage,88.7
2022-2023,Men,Gap,Percentage,15.8
2022-2023,Women,Barcelona,Percentage,92.8
2022-2023,Women,Ciutat Vella,Percentage,84.3
2022-2023,Women,Eixample,Percentage,96.0
2022-2023,Women,Sants-Montjuïc,Percentage,88.6
2022-2023,Women,Les Corts,Percentage,95.0
2022-2023,Women,Sarrià-Sant Gervasi,Percentage,94.2
2022-2023,Women,Gràcia,Percentage,97.9
2022-2023,Women,Horta-Guinardó,Percentage,93.2
2022-2023,Women,Nou Barris,Percentage,83.3
2022-2023,Women,Sant Andreu,Percentage,95.3
2022-2023,Women,Sant Martí,Percentage,94.1
2022-2023,Women,Gap,Percentage,14.6
2023-2024,,Barcelona,Percentage,88.5
2023-2024,,Ciutat Vella,Percentage,84.3
2023-2024,,Eixample,Percentage,90.0
2023-2024,,Sants-Montjuïc,Percentage,84.3
2023-2024,,Les Corts,Percentage,95.9
2023-2024,,Sarrià-Sant Gervasi,Percentage,93.6
2023-2024,,Gràcia,Percentage,94.0
2023-2024,,Horta-Guinardó,Percentage,85.5
2023-2024,,Nou Barris,Percentage,79.6
2023-2024,,Sant Andreu,Percentage,88.5
2023-2024,,Sant Martí,Percentage,86.5
2023-2024,,Gap,Percentage,16.3
2024-2025,,Barcelona,Percentage,91.7
2024-2025,,Ciutat Vella,Percentage,91.5
2024-2025,,Eixample,Percentage,91.4
2024-2025,,Sants-Montjuïc,Percentage,98.1
2024-2025,,Les Corts,Percentage,98.1
2024-2025,,Sarrià-Sant Gervasi,Percentage,97.2
2024-2025,,Gràcia,Percentage,95.8
2024-2025,,Horta-Guinardó,Percentage,87.9
2024-2025,,Nou Barris,Percentage,79.8
2024-2025,,Sant Andreu,Percentage,91.7
2024-2025,,Sant Martí,Percentage,90.7
2024-2025,,Gap,Percentage,18.3
2024-2025,Men,Barcelona,Percentage,91.2
2024-2025,Men,Ciutat Vella,Percentage,91.5
2024-2025,Men,Eixample,Percentage,90.7
2024-2025,Men,Sants-Montjuïc,Percentage,92.8
2024-2025,Men,Les Corts,Percentage,98.1
2024-2025,Men,Sarrià-Sant Gervasi,Percentage,97.5
2024-2025,Men,Gràcia,Percentage,94.5
2024-2025,Men,Horta-Guinardó,Percentage,87.0
2024-2025,Men,Nou Barris,Percentage,78.3
2024-2025,Men,Sant Andreu,Percentage,91.9
2024-2025,Men,Sant Martí,Percentage,89.7
2024-2025,Men,Gap,Percentage,19.7
2024-2025,Women,Barcelona,Percentage,92.2
2024-2025,Women,Ciutat Vella,Percentage,91.6
2024-2025,Women,Eixample,Percentage,92.3
2024-2025,Women,Sants-Montjuïc,Percentage,92.5
2024-2025,Women,Les Corts,Percentage,98.2
2024-2025,Women,Sarrià-Sant Gervasi,Percentage,96.9
2024-2025,Women,Gràcia,Percentage,97.2
2024-2025,Women,Horta-Guinardó,Percentage,88.8
2024-2025,Women,Nou Barris,Percentage,81.3
2024-2025,Women,Sant Andreu,Percentage,91.5
2024-2025,Women,Sant Martí,Percentage,91.6
2024-2025,Women,Gap,Percentage,16.9

