Year,Management_Entity,Units,Value
2015,CDIAP Barcelona Net,Total Number,
2016,CDIAP Barcelona Net,Total Number,
2017,CDIAP Barcelona Net,Total Number,
2018,CDIAP Barcelona Net,Total Number,
2019,CDIAP Barcelona Net,Total Number,6671
2020,CDIAP Barcelona Net,Total Number,6281
2021,CDIAP Barcelona Net,Total Number,6097
2022,CDIAP Barcelona Net,Total Number,7353
2023,CDIAP Barcelona Net,Total Number,8500
2024,CDIAP Barcelona Net,Total Number,9224
2015,City Council,Total Number,774
2016,City Council,Total Number,815
2017,City Council,Total Number,913
2018,City Council,Total Number,1066
2019,City Council,Total Number,1179
2020,City Council,Total Number,1369
2021,City Council,Total Number,1611
2022,City Council,Total Number,1738
2023,City Council,Total Number,1809
2024,City Council,Total Number,1978
