Year,Units,Value
2015,Number of illegal settlements,56
2016,Number of illegal settlements,62
2017,Number of illegal settlements,72
2018,Number of illegal settlements,79
2019,Number of illegal settlements,77
2020,Number of illegal settlements,75
2021,Number of illegal settlements,81
2022,Number of illegal settlements,66
2023,Number of illegal settlements,77
2024,Number of illegal settlements,62
2025,Number of illegal settlements,53
2017,People living in illegal settlements,533
2018,People living in illegal settlements,481
2019,People living in illegal settlements,425
2020,People living in illegal settlements,402
2021,People living in illegal settlements,363
2022,People living in illegal settlements,273
2023,People living in illegal settlements,278
2024,People living in illegal settlements,256
2025,People living in illegal settlements,299
