Indicator,Disaggregations,Number of disaggregations
#1-1-2,Type_Housing,1
#1-2-1,Geographical_Area,1
#1-3-1,"Geographical_Area, Poverty_Threshold",2
#1-5-1,Type_assistance,1
#10-2-2,"Gender, Group_Age",2
#10-2-3,Gender,1
#10-3-1,Type_Cultural_Service,1
#10-3-4,Gender,1
#11-2-1,Mean_of_transportation,1
#11-2-2,Type_Public_Transport,1
#11-2-5,Type_Transport,1
#11-6-1,Air_Pollutants,1
#11-7-2,Gender,1
#13-2-1,Sector,1
#14-b-1,Type_of_boat,1
#16-1-3,Gender,1
#16-1-4,"Gender, Area",2
#16-5-1,Gender,1
#16-5-2,Gender,1
#16-6-1,Gender,1
#17-17-1,Status,1
#2-1-1,Geographical_Area,1
#2-2-1,"Gender, Group_Age",2
#2-4-2,Geographical_Area,1
#2-4-3,Geographical_origin,1
#3-3-1,Gender,1
#3-3-2,Gender,1
#3-3-3,Gender,1
#3-3-4,Gender,1
#3-4-1,Gender,1
#3-4-2,Gender,1
#3-4-3,Gender,1
#3-5-1,Gender,1
#3-5-2,Gender,1
#3-5-3,Gender,1
#3-5-4,Gender,1
#3-6-1,Gender,1
#3-6-2,Gender,1
#3-7-2,District,1
#3-8-1,Gender,1
#3-a-1,Gender,1
#4-1-1,Basic_Skill,1
#4-1-2,"Gender, District",2
#4-3-1,Gender,1
#4-4-1,Gender,1
#4-4-2,Gender,1
#4-5-1,"Type_Segregation, Education_Level",2
#4-6-1,"Gender, Language",2
#4-a-1,Management_Entity,1
#5-5-4,Management,1
#6-1-2,Scenario,1
#8-1-1,Geographical_Area,1
#8-1-2,Sector,1
#8-2-1,Geographical_Area,1
#8-5-1,Gender,1
#8-8-1,Gender,1
#8-8-2,Gender,1
#8-8-3,Gender,1
#9-5-2,Geographical_Area,1
#9-5-3,Geographical_Area,1
#9-c-1,Gender,1
#9-c-2,Gender,1
