Disaggregation,Number of indicators,Number of values
Air_Pollutants,1,3
Area,1,2
Basic_Skill,1,5
District,2,14
Education_Level,1,2
Gender,36,4
Geographical_Area,8,9
Geographical_origin,1,3
Group_Age,2,3
Language,1,3
Management,1,2
Management_Entity,1,2
Mean_of_transportation,1,5
Poverty_Threshold,1,2
Scenario,1,7
Sector,2,15
Status,1,2
Type_assistance,1,2
Type_Cultural_Service,1,3
Type_Housing,1,3
Type_of_boat,1,4
Type_Public_Transport,1,4
Type_refuge,1,4
Type_Segregation,1,2
Type_Transport,1,6
