Year,Gender,Units,Value
2018,Men,Rate per 100.000,273.0
2018,Women,Rate per 100.000,39.8
2018,,Rate per 100.000,150.5
2019,Men,Rate per 100.000,350.5
2019,Women,Rate per 100.000,54.5
2019,,Rate per 100.000,195.2
2020,Men,Rate per 100.000,355.9
2020,Women,Rate per 100.000,49.5
2020,,Rate per 100.000,195.2
2021,Men,Rate per 100.000,504.3
2021,Women,Rate per 100.000,56.3
2021,,Rate per 100.000,269.9
2022,Men,Rate per 100.000,610.6
2022,Women,Rate per 100.000,81.5
2022,,Rate per 100.000,393.4
2023,Men,Rate per 100.000,807.4
2023,Women,Rate per 100.000,104.2
2023,,Rate per 100.000,438.7
2024,Men,Rate per 100.000,807.2
2024,Women,Rate per 100.000,91.8
2024,,Rate per 100.000,433.7
