Year,Gender,Units,Value
2015,Total Number per 100.000 inhabitants,26.4,
2016,Total Number per 100.000 inhabitants,32.4,
2017,Total Number per 100.000 inhabitants,24.5,
2018,Total Number per 100.000 inhabitants,20.8,
2019,Total Number per 100.000 inhabitants,28.7,
2020,Total Number per 100.000 inhabitants,19.1,
2021,Total Number per 100.000 inhabitants,20.7,
2022,Total Number per 100.000 inhabitants,19.9,
2015,Men,Number per 100.000 inhabitants,34.8
2016,Men,Number per 100.000 inhabitants,44.2
2017,Men,Number per 100.000 inhabitants,33.4
2018,Men,Number per 100.000 inhabitants,30.7
2019,Men,Number per 100.000 inhabitants,41.0
2020,Men,Number per 100.000 inhabitants,27.7
2021,Men,Number per 100.000 inhabitants,28.6
2022,Men,Number per 100.000 inhabitants,25.5
2023,Men,Number per 100.000 inhabitants,24.6
2015,Women,Number per 100.000 inhabitants,16.6
2016,Women,Number per 100.000 inhabitants,18.7
2017,Women,Number per 100.000 inhabitants,14.8
2018,Women,Number per 100.000 inhabitants,9.8
2019,Women,Number per 100.000 inhabitants,15.5
2020,Women,Number per 100.000 inhabitants,9.5
2021,Women,Number per 100.000 inhabitants,12.0
2022,Women,Number per 100.000 inhabitants,12.5
2023,Women,Number per 100.000 inhabitants,16.2
