Year,Geographical Area,Units,Value
2015,Barcelona,Total Number,240.0
2015,Barcelona Metropolitan Area,Total Number,227.9
2015,Catalonia,Total Number,183.8
2015,Spain,Total Number,114.2
2016,Barcelona,Total Number,231.3
2016,Barcelona Metropolitan Area,Total Number,220.9
2016,Catalonia,Total Number,181.1
2016,Spain,Total Number,119.9
2017,Barcelona,Total Number,206.1
2017,Barcelona Metropolitan Area,Total Number,182.1
2017,Catalonia,Total Number,159.0
2017,Spain,Total Number,110.6
2018,Barcelona,Total Number,179.1
2018,Barcelona Metropolitan Area,Total Number,184.6
2018,Catalonia,Total Number,156.8
2018,Spain,Total Number,108.6
2019,Barcelona,Total Number,171.5
2019,Barcelona Metropolitan Area,Total Number,180.7
2019,Catalonia,Total Number,159.0
2019,Spain,Total Number,109.5
2020,Barcelona,Total Number,206.2
2020,Barcelona Metropolitan Area,Total Number,189.7
2020,Catalonia,Total Number,165.6
2020,Spain,Total Number,120.7
2021,Barcelona,Total Number,213.7
2021,Barcelona Metropolitan Area,Total Number,186.0
2021,Catalonia,Total Number,157.1
2021,Spain,Total Number,116.9
2022,Barcelona,Total Number,144.7
2022,Barcelona Metropolitan Area,Total Number,135.0
2022,Catalonia,Total Number,121.9
2022,Spain,Total Number,88.6
