Year,Type_Transport,Units,Value
2015,Private motorized,Percentage,16.6
2015,Taxi,Percentage,1.0
2015,Public transport,Percentage,66.1
2015,Bicicle and electric scooter,Percentage,5.2
2015,Walking,Percentage,10.9
2015,Others,Percentage,0.2
2016,Private motorized,Percentage,17.6
2016,Taxi,Percentage,1.1
2016,Public transport,Percentage,66.4
2016,Bicicle and electric scooter,Percentage,5.4
2016,Walking,Percentage,9.3
2016,Others,Percentage,0.2
2017,Private motorized,Percentage,17.3
2017,Taxi,Percentage,1.1
2017,Public transport,Percentage,64.2
2017,Bicicle and electric scooter,Percentage,6.3
2017,Walking,Percentage,9.1
2017,Others,Percentage,2.0
2018,Private motorized,Percentage,17.1
2018,Taxi,Percentage,1.6
2018,Public transport,Percentage,64.6
2018,Bicicle and electric scooter,Percentage,6.4
2018,Walking,Percentage,9.9
2018,Others,Percentage,0.4
2019,Private motorized,Percentage,17.0
2019,Taxi,Percentage,1.3
2019,Public transport,Percentage,65.4
2019,Bicicle and electric scooter,Percentage,7.3
2019,Walking,Percentage,8.7
2019,Others,Percentage,0.3
2020,Private motorized,Percentage,18.7
2020,Taxi,Percentage,1.6
2020,Public transport,Percentage,57.4
2020,Bicicle and electric scooter,Percentage,9.9
2020,Walking,Percentage,12.2
2020,Others,Percentage,0.2
2021,Private motorized,Percentage,17.9
2021,Taxi,Percentage,1.4
2021,Public transport,Percentage,58.1
2021,Bicicle and electric scooter,Percentage,9.3
2021,Walking,Percentage,13.2
2021,Others,Percentage,0.1
2022,Private motorized,Percentage,16.8
2022,Taxi,Percentage,1.7
2022,Public transport,Percentage,61.2
2022,Bicicle and electric scooter,Percentage,7.8
2022,Walking,Percentage,12.4
2022,Others,Percentage,0.1
2023,Private motorized,Percentage,16.3
2023,Taxi,Percentage,1.7
2023,Public transport,Percentage,62.5
2023,Bicicle and electric scooter,Percentage,7.7
2023,Walking,Percentage,11.5
2023,Others,Percentage,0.2
2024,Private motorized,Percentage,14.4
2024,Taxi,Percentage,1.4
2024,Public transport,Percentage,65.9
2024,Bicicle and electric scooter,Percentage,7.6
2024,Walking,Percentage,10.6
2024,Others,Percentage,0.1
2025,Private motorized,Percentage,14.7
2025,Taxi,Percentage,1.0
2025,Public transport,Percentage,61.4
2025,Bicicle and electric scooter,Percentage,7.0
2025,Walking,Percentage,15.7
2025,Others,Percentage,0.1
