Year,Geographical Area,Units,Value
2015,Catalonia,Percentage,11.6
2015,Barcelona Province,Percentage,14.9
2016,Catalonia,Percentage,14.5
2016,Barcelona Province,Percentage,17.4
2017,Catalonia,Percentage,16.9
2017,Barcelona Province,Percentage,19.3
2018,Catalonia,Percentage,17.8
2018,Barcelona Province,Percentage,20.6
2019,Catalonia,Percentage,19.6
2019,Barcelona Province,Percentage,22.4
2020,Catalonia,Percentage,22.1
2020,Barcelona Province,Percentage,23.9
2021,Catalonia,Percentage,23.0
2021,Barcelona Province,Percentage,27.9
2022,Catalonia,Percentage,23.2
2022,Barcelona Province,Percentage,26.9
