Year,Management_Entity,Units,Value
2015,CDIAP Barcelona Net,Total Number,
2016,CDIAP Barcelona Net,Total Number,
2017,CDIAP Barcelona Net,Total Number,
2018,CDIAP Barcelona Net,Total Number,
2019,CDIAP Barcelona Net,Total Number,6671.0
2020,CDIAP Barcelona Net,Total Number,6281.0
2021,CDIAP Barcelona Net,Total Number,6097.0
2022,CDIAP Barcelona Net,Total Number,7353.0
2023,CDIAP Barcelona Net,Total Number,8500.0
2024,CDIAP Barcelona Net,Total Number,9224.0
2015,City Council,Total Number,774.0
2016,City Council,Total Number,815.0
2017,City Council,Total Number,913.0
2018,City Council,Total Number,1066.0
2019,City Council,Total Number,1179.0
2020,City Council,Total Number,1369.0
2021,City Council,Total Number,1611.0
2022,City Council,Total Number,1738.0
2023,City Council,Total Number,1809.0
2024,City Council,Total Number,1978.0
