Year,Units,Value
2015,Euros per night,54.1
2016,Euros per night,
2017,Euros per night,56.1
2018,Euros per night,55.5
2019,Euros per night,59.5
2020,Euros per night,35.1
2021,Euros per night,46.2
2022,Euros per night,68.5
2023,Euros per night,84.2
2024,Euros per night,92.2
2025,Euros per night,88.2
2015,Euros per total stay,78.4
2016,Euros per total stay,
2017,Euros per total stay,79.4
2018,Euros per total stay,79.6
2019,Euros per total stay,82.3
2020,Euros per total stay,69.2
2021,Euros per total stay,71.9
2022,Euros per total stay,84.4
2023,Euros per total stay,91.7
2024,Euros per total stay,99.7
2025,Euros per total stay,106.3
