Year,Value,Units
1999,11.258,Million Euros
2000,7.51,Million Euros
2001,2.682,Million Euros
2002,8.888,Million Euros
2003,1.222,Million Euros
2004,0.982,Million Euros
2005,3.041,Million Euros
2006,5.364,Million Euros
2007,0.124,Million Euros
2008,4.445,Million Euros
2009,8.679,Million Euros
2010,0.113,Million Euros
2011,2.618,Million Euros
2012,0.037,Million Euros
2013,0.063,Million Euros
2014,1.261,Million Euros
2015,0.007,Million Euros
2016,0.026,Million Euros
2017,0.185,Million Euros
2018,6.171,Million Euros
2019,3.304,Million Euros
2020,22.327,Million Euros
2021,0.102,Million Euros
2022,0.036,Million Euros
2023,0.014,Million Euros
2024,0.181,Million Euros
2025,0.265,Million Euros
