Year,Tipo Vivienda,Units,Value
2016,,Número Total,3231
2016,Sin techo,Número Total,941
2016,Personas sin hogar atendida en centros residenciales colectivoss o alojamientos individuales,Número Total,1907
2016,Vivienda inadecuada,Número Total,383
2017,,Número Total,3447
2017,Sin techo,Número Total,1026
2017,Personas sin hogar atendida en centros residenciales colectivoss o alojamientos individuales,Número Total,2006
2017,Vivienda inadecuada,Número Total,415
2018,,Número Total,3530
2018,Sin techo,Número Total,956
2018,Personas sin hogar atendida en centros residenciales colectivoss o alojamientos individuales,Número Total,2130
2018,Vivienda inadecuada,Número Total,444
2021,,Número Total,4043
2021,Sin techo,Número Total,895
2021,Personas sin hogar atendida en centros residenciales colectivoss o alojamientos individuales,Número Total,2808
2021,Vivienda inadecuada,Número Total,340
2022,,Número Total,4197
2022,Sin techo,Número Total,1063
2022,Personas sin hogar atendida en centros residenciales colectivoss o alojamientos individuales,Número Total,2803
2022,Vivienda inadecuada,Número Total,331
2023,,Número Total,4477
2023,Sin techo,Número Total,1244
2023,Personas sin hogar atendida en centros residenciales colectivoss o alojamientos individuales,Número Total,2913
2023,Vivienda inadecuada,Número Total,320
2024,,Número Total,4365
2024,Sin techo,Número Total,1245
2024,Personas sin hogar atendida en centros residenciales colectivoss o alojamientos individuales,Número Total,2860
2024,Vivienda inadecuada,Número Total,260
