Year,Tipo de servicio cultural,Units,Value
2016,Biblioteca pública,Porcentaje,16.5
2017,Biblioteca pública,Porcentaje,
2018,Biblioteca pública,Porcentaje,
2019,Biblioteca pública,Porcentaje,13.8
2020,Biblioteca pública,Porcentaje,13.2
2021,Biblioteca pública,Porcentaje,14.8
2022,Biblioteca pública,Porcentaje,16.4
2023,Biblioteca pública,Porcentaje,17.1
2024,Biblioteca pública,Porcentaje,15.7
2025,Biblioteca pública,Porcentaje,13.7
2016,Fiestas populares,Porcentaje,11.7
2017,Fiestas populares,Porcentaje,
2018,Fiestas populares,Porcentaje,
2019,Fiestas populares,Porcentaje,16.1
2020,Fiestas populares,Porcentaje,14.4
2021,Fiestas populares,Porcentaje,9.5
2022,Fiestas populares,Porcentaje,14.0
2023,Fiestas populares,Porcentaje,16.9
2024,Fiestas populares,Porcentaje,13.9
2025,Fiestas populares,Porcentaje,11.2
2016,Actividad cultural,Porcentaje,23.7
2017,Actividad cultural,Porcentaje,
2018,Actividad cultural,Porcentaje,
2019,Actividad cultural,Porcentaje,22.4
2020,Actividad cultural,Porcentaje,23.9
2021,Actividad cultural,Porcentaje,21.1
2022,Actividad cultural,Porcentaje,26.6
2023,Actividad cultural,Porcentaje,27.6
2024,Actividad cultural,Porcentaje,22.6
2025,Actividad cultural,Porcentaje,20.6
