Year,Units,Value
1999,Millones de Euros,11.3
2000,Millones de Euros,7.5
2001,Millones de Euros,2.7
2002,Millones de Euros,8.9
2003,Millones de Euros,1.2
2004,Millones de Euros,1.0
2005,Millones de Euros,3.0
2006,Millones de Euros,5.4
2007,Millones de Euros,0.1
2008,Millones de Euros,4.4
2009,Millones de Euros,8.7
2010,Millones de Euros,0.1
2011,Millones de Euros,2.6
2012,Millones de Euros,0.0
2013,Millones de Euros,0.1
2014,Millones de Euros,1.3
2015,Millones de Euros,0.0
2016,Millones de Euros,0.0
2017,Millones de Euros,0.2
2018,Millones de Euros,6.2
2019,Millones de Euros,3.3
2020,Millones de Euros,22.3
2021,Millones de Euros,0.1
