Year,Origen Geográfico,Units,Value
2015,Cataluña,Porcentaje,18.7
2015,Resto de España,Porcentaje,55.2
2015,Importado,Porcentaje,26.0
2016,Cataluña,Porcentaje,18.3
2016,Resto de España,Porcentaje,56.4
2016,Importado,Porcentaje,25.3
2017,Cataluña,Porcentaje,14.2
2017,Resto de España,Porcentaje,56.9
2017,Importado,Porcentaje,28.9
2018,Cataluña,Porcentaje,13.0
2018,Resto de España,Porcentaje,59.6
2018,Importado,Porcentaje,27.4
2019,Cataluña,Porcentaje,11.6
2019,Resto de España,Porcentaje,57.1
2019,Importado,Porcentaje,31.3
2020,Cataluña,Porcentaje,12.9
2020,Resto de España,Porcentaje,55.9
2020,Importado,Porcentaje,31.2
2021,Cataluña,Porcentaje,14.0
2021,Resto de España,Porcentaje,52.7
2021,Importado,Porcentaje,33.3
2022,Cataluña,Porcentaje,14.6
2022,Resto de España,Porcentaje,56.0
2022,Importado,Porcentaje,29.4
2023,Cataluña,Porcentaje,14.7
2023,Resto de España,Porcentaje,57.6
2023,Importado,Porcentaje,27.7
2024,Cataluña,Porcentaje,15.2
2024,Resto de España,Porcentaje,60.4
2024,Importado,Porcentaje,24.5
2025,Cataluña,Porcentaje,15.1
2025,Resto de España,Porcentaje,60.3
2025,Importado,Porcentaje,24.6
