Year,Sexo,Units,Value
2015,Hombres,Tasa por 100.000,65.3
2015,Mujeres,Tasa por 100.000,4.5
2015,,Tasa por 100.000,24.4
2016,Hombres,Tasa por 100.000,59.5
2016,Mujeres,Tasa por 100.000,3.8
2016,,Tasa por 100.000,21.3
2017,Hombres,Tasa por 100.000,61.4
2017,Mujeres,Tasa por 100.000,7.6
2017,,Tasa por 100.000,22.9
2018,Hombres,Tasa por 100.000,58.5
2018,Mujeres,Tasa por 100.000,4.9
2018,,Tasa por 100.000,20.2
2019,Hombres,Tasa por 100.000,30.3
2019,Mujeres,Tasa por 100.000,3.3
2019,,Tasa por 100.000,16.1
2020,Hombres,Tasa por 100.000,40.8
2020,Mujeres,Tasa por 100.000,3.4
2020,,Tasa por 100.000,14.4
2021,Hombres,Tasa por 100.000,18.5
2021,Mujeres,Tasa por 100.000,2.7
2021,,Tasa por 100.000,10.2
2022,Hombres,Tasa por 100.000,39.8
2022,Mujeres,Tasa por 100.000,5.3
2022,,Tasa por 100.000,14.6
2023,Hombres,Tasa por 100.000,21.1
2023,Mujeres,Tasa por 100.000,2.1
2023,,Tasa por 100.000,11.5
2024,Hombres,Tasa por 100.000,17.6
2024,Mujeres,Tasa por 100.000,3.8
2024,,Tasa por 100.000,10.8
