Year,Sexo,Units,Value
2018,Hombres,Tasa por 100.000,273.0
2018,Mujeres,Tasa por 100.000,39.8
2018,,Tasa por 100.000,150.5
2019,Hombres,Tasa por 100.000,350.5
2019,Mujeres,Tasa por 100.000,54.5
2019,,Tasa por 100.000,195.2
2020,Hombres,Tasa por 100.000,355.9
2020,Mujeres,Tasa por 100.000,49.5
2020,,Tasa por 100.000,195.2
2021,Hombres,Tasa por 100.000,504.3
2021,Mujeres,Tasa por 100.000,56.3
2021,,Tasa por 100.000,269.9
2022,Hombres,Tasa por 100.000,610.6
2022,Mujeres,Tasa por 100.000,81.5
2022,,Tasa por 100.000,393.4
2023,Hombres,Tasa por 100.000,807.4
2023,Mujeres,Tasa por 100.000,104.2
2023,,Tasa por 100.000,438.7
2024,Hombres,Tasa por 100.000,807.2
2024,Mujeres,Tasa por 100.000,91.8
2024,,Tasa por 100.000,433.7
