Year,Área Geográfica,Units,Value
2014,Barcelona,Variación porcentual anual,
2015,Barcelona,Variación porcentual anual,3.06
2016,Barcelona,Variación porcentual anual,2.83
2017,Barcelona,Variación porcentual anual,2.83
2018,Barcelona,Variación porcentual anual,2.93
2019,Barcelona,Variación porcentual anual,1.37
2020,Barcelona,Variación porcentual anual,-13.65
2021,Barcelona,Variación porcentual anual,4.83
2022,Barcelona,Variación porcentual anual,9.54
2023,Barcelona,Variación porcentual anual,1.32
2014,Unión Europea,Variación porcentual anual,
2015,Unión Europea,Variación porcentual anual,2.08
2016,Unión Europea,Variación porcentual anual,1.76
2017,Unión Europea,Variación porcentual anual,2.68
2018,Unión Europea,Variación porcentual anual,1.89
2019,Unión Europea,Variación porcentual anual,1.72
2020,Unión Europea,Variación porcentual anual,-5.74
2021,Unión Europea,Variación porcentual anual,5.59
2022,Unión Europea,Variación porcentual anual,3.36
2014,España,Variación porcentual anual,
2015,España,Variación porcentual anual,3.92
2016,España,Variación porcentual anual,2.94
2017,España,Variación porcentual anual,2.73
2018,España,Variación porcentual anual,1.84
2019,España,Variación porcentual anual,1.25
2020,España,Variación porcentual anual,-11.76
2021,España,Variación porcentual anual,5.41
2022,España,Variación porcentual anual,5.01
2014,Barcelona,Crecimiento acumulado del PIB,100.0
2015,Barcelona,Crecimiento acumulado del PIB,103.06
2016,Barcelona,Crecimiento acumulado del PIB,105.98
2017,Barcelona,Crecimiento acumulado del PIB,108.98
2018,Barcelona,Crecimiento acumulado del PIB,112.17
2019,Barcelona,Crecimiento acumulado del PIB,113.71
2020,Barcelona,Crecimiento acumulado del PIB,98.19
2021,Barcelona,Crecimiento acumulado del PIB,102.93
2022,Barcelona,Crecimiento acumulado del PIB,112.75
2023,Barcelona,Crecimiento acumulado del PIB,114.24
