Year,Sexo,Units,Value
2015,Número total por 100.000 habitantes,26.4,
2016,Número total por 100.000 habitantes,32.4,
2017,Número total por 100.000 habitantes,24.5,
2018,Número total por 100.000 habitantes,20.8,
2019,Número total por 100.000 habitantes,28.7,
2020,Número total por 100.000 habitantes,19.1,
2021,Número total por 100.000 habitantes,20.7,
2022,Número total por 100.000 habitantes,19.9,
2015,Hombres,Number per 100.000 inhabitants,34.8
2016,Hombres,Number per 100.000 inhabitants,44.2
2017,Hombres,Number per 100.000 inhabitants,33.4
2018,Hombres,Number per 100.000 inhabitants,30.7
2019,Hombres,Number per 100.000 inhabitants,41.0
2020,Hombres,Number per 100.000 inhabitants,27.7
2021,Hombres,Number per 100.000 inhabitants,28.6
2022,Hombres,Number per 100.000 inhabitants,25.5
2023,Hombres,Number per 100.000 inhabitants,24.6
2015,Mujeres,Number per 100.000 inhabitants,16.6
2016,Mujeres,Number per 100.000 inhabitants,18.7
2017,Mujeres,Number per 100.000 inhabitants,14.8
2018,Mujeres,Number per 100.000 inhabitants,9.8
2019,Mujeres,Number per 100.000 inhabitants,15.5
2020,Mujeres,Number per 100.000 inhabitants,9.5
2021,Mujeres,Number per 100.000 inhabitants,12.0
2022,Mujeres,Number per 100.000 inhabitants,12.5
2023,Mujeres,Number per 100.000 inhabitants,16.2
