Year,Units,Value
2015,Euros por noche,54.1
2016,Euros por noche,
2017,Euros por noche,56.1
2018,Euros por noche,55.5
2019,Euros por noche,59.5
2020,Euros por noche,35.1
2021,Euros por noche,46.2
2022,Euros por noche,68.5
2023,Euros por noche,84.2
2024,Euros por noche,92.2
2025,Euros por noche,88.2
2015,Euros por estancia total,78.4
2016,Euros por estancia total,
2017,Euros por estancia total,79.4
2018,Euros por estancia total,79.6
2019,Euros por estancia total,82.3
2020,Euros por estancia total,69.2
2021,Euros por estancia total,71.9
2022,Euros por estancia total,84.4
2023,Euros por estancia total,91.7
2024,Euros por estancia total,99.7
2025,Euros por estancia total,106.3
