Year,Sexo,Units,Value
2015,,Porcentaje,83.7
2016,,Porcentaje,85.5
2017,,Porcentaje,85.7
2018,,Porcentaje,87.7
2019,,Porcentaje,88.5
2020,,Porcentaje,84.0
2021,,Porcentaje,85.4
2022,,Porcentaje,86.3
2015,Hombres,Porcentaje,83.7
2016,Hombres,Porcentaje,85.5
2017,Hombres,Porcentaje,85.7
2018,Hombres,Porcentaje,87.7
2019,Hombres,Porcentaje,88.5
2020,Hombres,Porcentaje,84.0
2021,Hombres,Porcentaje,85.4
2022,Hombres,Porcentaje,86.3
2015,Mujeres,Porcentaje,83.7
2016,Mujeres,Porcentaje,85.5
2017,Mujeres,Porcentaje,85.7
2018,Mujeres,Porcentaje,87.7
2019,Mujeres,Porcentaje,88.5
2020,Mujeres,Porcentaje,84.0
2021,Mujeres,Porcentaje,85.4
2022,Mujeres,Porcentaje,86.3
