Year,Área Geográfica,Units,Value
2016-2017,Barcelona,Porcentaje,6.3
2017-2018,Barcelona,Porcentaje,6.3
2018-2019,Barcelona,Porcentaje,5.4
2019-2020,Barcelona,Porcentaje,8.1
2020-2021,Barcelona,Porcentaje,9.6
2021-2022,Barcelona,Porcentaje,8.8
2022-2023,Barcelona,Porcentaje,9.8
2024-2025,Barcelona,Porcentaje,8.2
2016-2017,Barcelona(población 0-15 años),Porcentaje,9.5
2017-2018,Barcelona(población 0-15 años),Porcentaje,11.1
2018-2019,Barcelona(población 0-15 años),Porcentaje,11.2
2019-2020,Barcelona(población 0-15 años),Porcentaje,12.6
2020-2021,Barcelona(población 0-15 años),Porcentaje,16.9
2021-2022,Barcelona(población 0-15 años),Porcentaje,13.0
2022-2023,Barcelona(población 0-15 años),Porcentaje,14.3
2024-2025,Barcelona(población 0-15 años),Porcentaje,16.8
2016-2017,Área Metropolitana Barcelona,Porcentaje,7.8
2017-2018,Área Metropolitana Barcelona,Porcentaje,7.7
2018-2019,Área Metropolitana Barcelona,Porcentaje,6.1
2019-2020,Área Metropolitana Barcelona,Porcentaje,7.7
2020-2021,Área Metropolitana Barcelona,Porcentaje,10.2
2021-2022,Área Metropolitana Barcelona,Porcentaje,10.3
2022-2023,Área Metropolitana Barcelona,Porcentaje,11.2
2024-2025,Área Metropolitana Barcelona,Porcentaje,9.3
