Year,Área Geográfica,Umbral de pobreza,Units,Value
2016-2017,Barcelona,40% mediana,Porcentaje,7.7
2017-2018,Barcelona,40% mediana,Porcentaje,7.6
2018-2019,Barcelona,40% mediana,Porcentaje,8.9
2019-2020,Barcelona,40% mediana,Porcentaje,8.3
2020-2021,Barcelona,40% mediana,Porcentaje,7.8
2021-2022,Barcelona,40% mediana,Porcentaje,7.6
2022-2023,Barcelona,40% mediana,Porcentaje,8.3
2024-2025,Barcelona,40% mediana,Porcentaje,6.1
2016-2017,Área Metropolitana Barcelona,40% mediana,Porcentaje,7.6
2017-2018,Área Metropolitana Barcelona,40% mediana,Porcentaje,8.5
2018-2019,Área Metropolitana Barcelona,40% mediana,Porcentaje,9.9
2019-2020,Área Metropolitana Barcelona,40% mediana,Porcentaje,9.2
2020-2021,Área Metropolitana Barcelona,40% mediana,Porcentaje,10.3
2021-2022,Área Metropolitana Barcelona,40% mediana,Porcentaje,10.0
2022-2023,Área Metropolitana Barcelona,40% mediana,Porcentaje,8.7
2024-2025,Área Metropolitana Barcelona,40% mediana,Porcentaje,7.8
2016-2017,Barcelona,60% mediana,Porcentaje,19.0
2017-2018,Barcelona,60% mediana,Porcentaje,19.3
2018-2019,Barcelona,60% mediana,Porcentaje,18.2
2019-2020,Barcelona,60% mediana,Porcentaje,17.2
2020-2021,Barcelona,60% mediana,Porcentaje,19.5
2021-2022,Barcelona,60% mediana,Porcentaje,18.6
2022-2023,Barcelona,60% mediana,Porcentaje,19.7
2024-2025,Barcelona,60% mediana,Porcentaje,16.4
2016-2017,Área Metropolitana Barcelona,60% mediana,Porcentaje,21.1
2017-2018,Área Metropolitana Barcelona,60% mediana,Porcentaje,21.9
2018-2019,Área Metropolitana Barcelona,60% mediana,Porcentaje,20.9
2019-2020,Área Metropolitana Barcelona,60% mediana,Porcentaje,20.4
2020-2021,Área Metropolitana Barcelona,60% mediana,Porcentaje,22.3
2021-2022,Área Metropolitana Barcelona,60% mediana,Porcentaje,21.2
2022-2023,Área Metropolitana Barcelona,60% mediana,Porcentaje,19.8
2024-2025,Área Metropolitana Barcelona,60% mediana,Porcentaje,19.4
