Year,Tipo atención,Units,Value
2015,Emergencias sociales,Número Total,2080
2015,Urgencias sociales,Número Total,28348
2016,Emergencias sociales,Número Total,1505
2016,Urgencias sociales,Número Total,28994
2017,Emergencias sociales,Número Total,2986
2017,Urgencias sociales,Número Total,28237
2018,Emergencias sociales,Número Total,2301
2018,Urgencias sociales,Número Total,27414
2019,Emergencias sociales,Número Total,1496
2019,Urgencias sociales,Número Total,22340
2020,Emergencias sociales,Número Total,1353
2020,Urgencias sociales,Número Total,27817
2021,Emergencias sociales,Número Total,1668
2021,Urgencias sociales,Número Total,34488
2022,Emergencias sociales,Número Total,15344
2022,Urgencias sociales,Número Total,42265
2023,Emergencias sociales,Número Total,3081
2023,Urgencias sociales,Número Total,37491
2024,Emergencias sociales,Número Total,5663
2024,Urgencias sociales,Número Total,31484
