Year,Mean_of_transportation,Units,Value
2015,A pie,Porcentaje,43.5
2016,A pie,Porcentaje,35.6
2017,A pie,Porcentaje,34.5
2018,A pie,Porcentaje,40.1
2019,A pie,Porcentaje,42.5
2020,A pie,Porcentaje,48.8
2021,A pie,Porcentaje,45.5
2022,A pie,Porcentaje,44.0
2023,A pie,Porcentaje,42.1
2015,Transporte privado motorizado,Porcentaje,20.6
2016,Transporte privado motorizado,Porcentaje,22.9
2017,Transporte privado motorizado,Porcentaje,22.3
2018,Transporte privado motorizado,Porcentaje,21.4
2019,Transporte privado motorizado,Porcentaje,20.1
2020,Transporte privado motorizado,Porcentaje,21.5
2021,Transporte privado motorizado,Porcentaje,23.5
2022,Transporte privado motorizado,Porcentaje,21.3
2023,Transporte privado motorizado,Porcentaje,19.9
2015,Bicicleta y VMP,Porcentaje,1.6
2016,Bicicleta y VMP,Porcentaje,2.2
2017,Bicicleta y VMP,Porcentaje,2.6
2018,Bicicleta y VMP,Porcentaje,2.5
2019,Bicicleta y VMP,Porcentaje,2.7
2020,Bicicleta y VMP,Porcentaje,3.5
2021,Bicicleta y VMP,Porcentaje,3.2
2022,Bicicleta y VMP,Porcentaje,3.8
2023,Bicicleta y VMP,Porcentaje,3.8
2015,Transporte público,Porcentaje,34.2
2016,Transporte público,Porcentaje,39.2
2017,Transporte público,Porcentaje,40.6
2018,Transporte público,Porcentaje,36.0
2019,Transporte público,Porcentaje,34.7
2020,Transporte público,Porcentaje,26.1
2021,Transporte público,Porcentaje,27.8
2022,Transporte público,Porcentaje,30.9
2023,Transporte público,Porcentaje,34.2
2015,Ecomobility,Porcentaje,79.4
2016,Ecomobility,Porcentaje,77.1
2017,Ecomobility,Porcentaje,77.7
2018,Ecomobility,Porcentaje,78.6
2019,Ecomobility,Porcentaje,79.9
2020,Ecomobility,Porcentaje,78.5
2021,Ecomobility,Porcentaje,76.5
2022,Ecomobility,Porcentaje,78.7
2023,Ecomobility,Porcentaje,80.1
