Year,Units,Value
1999,Millones de Euros,11.258
2000,Millones de Euros,7.51
2001,Millones de Euros,2.682
2002,Millones de Euros,8.888
2003,Millones de Euros,1.222
2004,Millones de Euros,0.982
2005,Millones de Euros,3.041
2006,Millones de Euros,5.364
2007,Millones de Euros,0.124
2008,Millones de Euros,4.445
2009,Millones de Euros,8.679
2010,Millones de Euros,0.113
2011,Millones de Euros,2.618
2012,Millones de Euros,0.037
2013,Millones de Euros,0.063
2014,Millones de Euros,1.261
2015,Millones de Euros,0.007
2016,Millones de Euros,0.026
2017,Millones de Euros,0.185
2018,Millones de Euros,6.171
2019,Millones de Euros,3.304
2020,Millones de Euros,22.327
2021,Millones de Euros,0.102
2022,Millones de Euros,0.036
2023,Millones de Euros,0.014
2024,Millones de Euros,0.181
2025,Millones de Euros,0.265
