Year,Sexo,Units,Value
2015,,Puntuación 0-10,6.5
2016,,Puntuación 0-10,6.7
2017,,Puntuación 0-10,6.7
2018,,Puntuación 0-10,6.7
2019,,Puntuación 0-10,6.5
2020,,Puntuación 0-10,6.1
2021,,Puntuación 0-10,6.4
2022,,Puntuación 0-10,6.0
2023,,Puntuación 0-10,5.8
2024,,Puntuación 0-10,6.4
2025,,Puntuación 0-10,6.7
2015,Hombres,Puntuación 0-10,6.8
2016,Hombres,Puntuación 0-10,6.9
2017,Hombres,Puntuación 0-10,6.8
2018,Hombres,Puntuación 0-10,7.0
2019,Hombres,Puntuación 0-10,6.7
2020,Hombres,Puntuación 0-10,6.3
2021,Hombres,Puntuación 0-10,6.6
2022,Hombres,Puntuación 0-10,6.2
2023,Hombres,Puntuación 0-10,5.9
2024,Hombres,Puntuación 0-10,6.5
2025,Hombres,Puntuación 0-10,6.8
2015,Mujeres,Puntuación 0-10,6.3
2016,Mujeres,Puntuación 0-10,6.5
2017,Mujeres,Puntuación 0-10,6.5
2018,Mujeres,Puntuación 0-10,6.6
2019,Mujeres,Puntuación 0-10,6.4
2020,Mujeres,Puntuación 0-10,6.0
2021,Mujeres,Puntuación 0-10,6.3
2022,Mujeres,Puntuación 0-10,5.9
2023,Mujeres,Puntuación 0-10,5.7
2024,Mujeres,Puntuación 0-10,6.3
2025,Mujeres,Puntuación 0-10,6.5
