Year,Sector,Units,Value
2015,Doméstico,x1000 toneladas de CO2,701.6
2016,Doméstico,x1000 toneladas de CO2,664.7
2017,Doméstico,x1000 toneladas de CO2,696.5
2018,Doméstico,x1000 toneladas de CO2,760.4
2019,Doméstico,x1000 toneladas de CO2,736.5
2020,Doméstico,x1000 toneladas de CO2,645.5
2015,Comercio,x1000 toneladas de CO2,687.0
2016,Comercio,x1000 toneladas de CO2,683.6
2017,Comercio,x1000 toneladas de CO2,702.4
2018,Comercio,x1000 toneladas de CO2,729.1
2019,Comercio,x1000 toneladas de CO2,759.9
2020,Comercio,x1000 toneladas de CO2,544.5
2015,Industrial,x1000 toneladas de CO2,285.6
2016,Industrial,x1000 toneladas de CO2,289.5
2017,Industrial,x1000 toneladas de CO2,261.8
2018,Industrial,x1000 toneladas de CO2,288.6
2019,Industrial,x1000 toneladas de CO2,289.3
2020,Industrial,x1000 toneladas de CO2,265.2
2015,Transporte,x1000 toneladas de CO2,1032.7
2016,Transporte,x1000 toneladas de CO2,1021.3
2017,Transporte,x1000 toneladas de CO2,935.0
2018,Transporte,x1000 toneladas de CO2,962.6
2019,Transporte,x1000 toneladas de CO2,949.5
2020,Transporte,x1000 toneladas de CO2,718.9
2015,Otros,x1000 toneladas de CO2,9.7
2016,Otros,x1000 toneladas de CO2,10.1
2017,Otros,x1000 toneladas de CO2,9.6
2018,Otros,x1000 toneladas de CO2,10.9
2019,Otros,x1000 toneladas de CO2,12.5
2020,Otros,x1000 toneladas de CO2,3.5
2015,Puerto y Aeropuerto,x1000 toneladas de CO2,422.8
2016,Puerto y Aeropuerto,x1000 toneladas de CO2,444.1
2017,Puerto y Aeropuerto,x1000 toneladas de CO2,438.8
2018,Puerto y Aeropuerto,x1000 toneladas de CO2,451.2
2019,Puerto y Aeropuerto,x1000 toneladas de CO2,449.6
2020,Puerto y Aeropuerto,x1000 toneladas de CO2,266.3
2015,Tratamiento de residuos,x1000 toneladas de CO2,316.2
2016,Tratamiento de residuos,x1000 toneladas de CO2,346.8
2017,Tratamiento de residuos,x1000 toneladas de CO2,364.2
2018,Tratamiento de residuos,x1000 toneladas de CO2,362.6
2019,Tratamiento de residuos,x1000 toneladas de CO2,360.2
2020,Tratamiento de residuos,x1000 toneladas de CO2,297.1
2015,Emisiones totales,x1000 toneladas de CO2,3455.5
2016,Emisiones totales,x1000 toneladas de CO2,3460.2
2017,Emisiones totales,x1000 toneladas de CO2,3408.3
2018,Emisiones totales,x1000 toneladas de CO2,3565.4
2019,Emisiones totales,x1000 toneladas de CO2,3557.5
2020,Emisiones totales,x1000 toneladas de CO2,2740.8
