Year,Área,Sexo,Units,Value
2015,Barrio,,Escala de 0 a 10,6.3
2016,Barrio,,Escala de 0 a 10,6.5
2017,Barrio,,Escala de 0 a 10,6.4
2018,Barrio,,Escala de 0 a 10,5.9
2019,Barrio,,Escala de 0 a 10,5.9
2020,Barrio,,Escala de 0 a 10,6.2
2021,Barrio,,Escala de 0 a 10,6.1
2022,Barrio,,Escala de 0 a 10,6.1
2023,Barrio,,Escala de 0 a 10,6.1
2024,Barrio,,Escala de 0 a 10,6.1
2025,Barrio,,Escala de 0 a 10,6.3
2026,Barrio,,Escala de 0 a 10,6.4
2015,Barrio,Hombres,Escala de 0 a 10,6.5
2016,Barrio,Hombres,Escala de 0 a 10,6.5
2017,Barrio,Hombres,Escala de 0 a 10,6.6
2018,Barrio,Hombres,Escala de 0 a 10,6.5
2019,Barrio,Hombres,Escala de 0 a 10,5.9
2020,Barrio,Hombres,Escala de 0 a 10,5.9
2021,Barrio,Hombres,Escala de 0 a 10,6.3
2022,Barrio,Hombres,Escala de 0 a 10,6.1
2023,Barrio,Hombres,Escala de 0 a 10,6.1
2024,Barrio,Hombres,Escala de 0 a 10,6.1
2025,Barrio,Hombres,Escala de 0 a 10,6.4
2026,Barrio,Hombres,Escala de 0 a 10,6.5
2015,Barrio,Mujeres,Escala de 0 a 10,6.2
2016,Barrio,Mujeres,Escala de 0 a 10,6.5
2017,Barrio,Mujeres,Escala de 0 a 10,6.5
2018,Barrio,Mujeres,Escala de 0 a 10,6.4
2019,Barrio,Mujeres,Escala de 0 a 10,5.9
2020,Barrio,Mujeres,Escala de 0 a 10,5.8
2021,Barrio,Mujeres,Escala de 0 a 10,6.2
2022,Barrio,Mujeres,Escala de 0 a 10,6.1
2023,Barrio,Mujeres,Escala de 0 a 10,6.0
2024,Barrio,Mujeres,Escala de 0 a 10,6.2
2025,Barrio,Mujeres,Escala de 0 a 10,6.2
2026,Barrio,Mujeres,Escala de 0 a 10,6.3
2015,Ciudad,,Escala de 0 a 10,6.2
2016,Ciudad,,Escala de 0 a 10,6.3
2017,Ciudad,,Escala de 0 a 10,6.2
2018,Ciudad,,Escala de 0 a 10,5.2
2019,Ciudad,,Escala de 0 a 10,5.2
2020,Ciudad,,Escala de 0 a 10,5.6
2021,Ciudad,,Escala de 0 a 10,5.4
2022,Ciudad,,Escala de 0 a 10,5.4
2023,Ciudad,,Escala de 0 a 10,5.3
2024,Ciudad,,Escala de 0 a 10,5.3
2025,Ciudad,,Escala de 0 a 10,5.5
2026,Ciudad,,Escala de 0 a 10,5.7
2015,Ciudad,Hombres,Escala de 0 a 10,6.3
2016,Ciudad,Hombres,Escala de 0 a 10,6.0
2017,Ciudad,Hombres,Escala de 0 a 10,6.4
2018,Ciudad,Hombres,Escala de 0 a 10,6.3
2019,Ciudad,Hombres,Escala de 0 a 10,5.3
2020,Ciudad,Hombres,Escala de 0 a 10,5.3
2021,Ciudad,Hombres,Escala de 0 a 10,5.7
2022,Ciudad,Hombres,Escala de 0 a 10,5.5
2023,Ciudad,Hombres,Escala de 0 a 10,5.4
2024,Ciudad,Hombres,Escala de 0 a 10,5.4
2025,Ciudad,Hombres,Escala de 0 a 10,5.6
2026,Ciudad,Hombres,Escala de 0 a 10,5.8
2015,Ciudad,Mujeres,Escala de 0 a 10,6.0
2016,Ciudad,Mujeres,Escala de 0 a 10,5.9
2017,Ciudad,Mujeres,Escala de 0 a 10,6.2
2018,Ciudad,Mujeres,Escala de 0 a 10,6.0
2019,Ciudad,Mujeres,Escala de 0 a 10,5.1
2020,Ciudad,Mujeres,Escala de 0 a 10,5.2
2021,Ciudad,Mujeres,Escala de 0 a 10,5.5
2022,Ciudad,Mujeres,Escala de 0 a 10,5.4
2023,Ciudad,Mujeres,Escala de 0 a 10,5.3
2024,Ciudad,Mujeres,Escala de 0 a 10,5.3
2025,Ciudad,Mujeres,Escala de 0 a 10,5.4
2026,Ciudad,Mujeres,Escala de 0 a 10,5.6
