Year,Área Geográfica,Units,Value
2015,Cataluña,Porcentaje,11.6
2015,Provincia de Barcelona,Porcentaje,14.9
2016,Cataluña,Porcentaje,14.5
2016,Provincia de Barcelona,Porcentaje,17.4
2017,Cataluña,Porcentaje,16.9
2017,Provincia de Barcelona,Porcentaje,19.3
2018,Cataluña,Porcentaje,17.8
2018,Provincia de Barcelona,Porcentaje,20.6
2019,Cataluña,Porcentaje,19.6
2019,Provincia de Barcelona,Porcentaje,22.4
2020,Cataluña,Porcentaje,22.1
2020,Provincia de Barcelona,Porcentaje,23.9
2021,Cataluña,Porcentaje,23.0
2021,Provincia de Barcelona,Porcentaje,27.9
2022,Cataluña,Porcentaje,23.2
2022,Provincia de Barcelona,Porcentaje,26.9
