Year,Distrito,Units,Value
2018,Barcelona,Tasa por 1.000,16.01
2018,Ciutat Vella,Tasa por 1.000,25.88
2018,Eixample,Tasa por 1.000,15.3
2018,Sants-Montjuïc,Tasa por 1.000,17.78
2018,Les Corts,Tasa por 1.000,6.03
2018,Sarrià - Sant Gervasi,Tasa por 1.000,6.42
2018,Gràcia,Tasa por 1.000,4.58
2018,Horta - Guinardó,Tasa por 1.000,7.19
2018,Nou Barris,Tasa por 1.000,24.66
2018,Sant Andreu,Tasa por 1.000,14.33
2018,Sant Martí,Tasa por 1.000,15.0
2018,Barcelona,Diferencial de la tasa más baja,21.3
2019,Barcelona,Tasa por 1.000,15.44
2019,Ciutat Vella,Tasa por 1.000,26.04
2019,Eixample,Tasa por 1.000,9.41
2019,Sants-Montjuïc,Tasa por 1.000,16.44
2019,Les Corts,Tasa por 1.000,10.45
2019,Sarrià - Sant Gervasi,Tasa por 1.000,5.51
2019,Gràcia,Tasa por 1.000,7.0
2019,Horta - Guinardó,Tasa por 1.000,9.91
2019,Nou Barris,Tasa por 1.000,23.98
2019,Sant Andreu,Tasa por 1.000,14.11
2019,Sant Martí,Tasa por 1.000,10.12
2019,Barcelona,Diferencial de la tasa más baja,20.53
2020,Barcelona,Tasa por 1.000,12.8
2020,Ciutat Vella,Tasa por 1.000,17.9
2020,Eixample,Tasa por 1.000,5.2
2020,Sants-Montjuïc,Tasa por 1.000,9.5
2020,Les Corts,Tasa por 1.000,1.8
2020,Sarrià - Sant Gervasi,Tasa por 1.000,4.1
2020,Gràcia,Tasa por 1.000,7.3
2020,Horta - Guinardó,Tasa por 1.000,8.5
2020,Nou Barris,Tasa por 1.000,20.9
2020,Sant Andreu,Tasa por 1.000,12.7
2020,Sant Martí,Tasa por 1.000,11.3
2020,Barcelona,Diferencial de la tasa más baja,19.1
2021,Barcelona,Tasa por 1.000,15.4
2021,Ciutat Vella,Tasa por 1.000,21.1
2021,Eixample,Tasa por 1.000,7.6
2021,Sants-Montjuïc,Tasa por 1.000,14.7
2021,Les Corts,Tasa por 1.000,6.8
2021,Sarrià - Sant Gervasi,Tasa por 1.000,7.8
2021,Gràcia,Tasa por 1.000,7.7
2021,Horta - Guinardó,Tasa por 1.000,9.7
2021,Nou Barris,Tasa por 1.000,20.6
2021,Sant Andreu,Tasa por 1.000,11.4
2021,Sant Martí,Tasa por 1.000,15.7
2021,Barcelona,Diferencial de la tasa más baja,13.5
